ep001:001	ep001:001	ep001:001	VERSE	Ef␣1:1␣
ep002:011	3	@	-	että␣
ep002:011	5	@	-	te␣
ep002:011	4	@	-	ennen
ep002:011	-	(,)	-	,␣
ep002:011	-	(@)	-	te␣
ep002:011	9a	@	-	lihanne␣
ep002:011	8	@	-	puolesta␣
ep002:011	(6) 7	@	-	pakanat
ep002:011	9b	,	-	,␣
ep002:011	10	@	-	jotka␣
ep002:011	11	(@)	-	olette␣
ep002:011	11	@	-	saaneet␣
ep002:011	12	@	-	ympärileikkaamattomien␣
ep002:011	11	@	-	nimen␣
ep002:011	14	@	-	niiltä
ep002:011	13	%case	LOC	
ep002:011	-	(,)	-	,␣
ep002:011	14	@	-	joita
ep002:011	-	(,)	-	,␣
ep002:011	18	@	-	lihaan␣
ep002:011	17	%case	LOC	
ep002:011	19a	@	-	käsillä␣
ep002:011	19a	@	-	tehdyn␣
ep002:011	-	(@)	-	ympärileikkauksen␣
ep002:011	-	(@)	-	mukaisesti
ep002:011	-	(,)	-	,␣
ep002:011	15	@	-	sanotaan␣
ep002:011	16	@	-	ympärileikatuiksi␣
ep002:011	19b	-	-	-␣
ep002:012	ep002:012	ep002:012	VERSE	Ef␣2:12␣
ep002:012	1	@	-	että␣
ep002:012	2	(@)	-	te␣
ep002:012	5	@	-	siihen␣
ep002:012	(3) 4	@	-	aikaan␣
ep002:012	2	@	-	olitte␣
ep002:012	6	@	-	ilman␣
ep002:012	7a	@	-	Kristusta
ep002:012	7b	,	-	,␣
ep002:012	8	@	-	olitte␣
ep002:012	8	@	-	vailla␣
ep002:012	(11) 12	@	-	Israelin␣
ep002:012	10 (9)	@	-	kansalaisoikeutta␣
ep002:012	13	@	-	ja␣
ep002:012	14	@	-	vieraat␣
ep002:012	(17) 18a	@	-	lupauksen␣
ep002:012	(15) 16	@	-	liitoille
ep002:012	18b	,	-	,␣
ep002:012	20 21	@	-	ilman␣
ep002:012	19	@	-	toivoa␣
ep002:012	22	@	-	ja␣
ep002:012	23	@	-	ilman␣
ep002:012	23	@	-	Jumalaa␣
ep002:012	(25) 26a	@	-	maailmassa
ep002:012	24	%case	LOC	
ep002:012	26b	;	-	;␣
ep002:013	ep002:013	ep002:013	VERSE	Ef␣2:13␣
ep002:013	2	@	-	mutta␣
ep002:013	1	@	-	nyt
ep002:013	-	(,)	-	,␣
ep002:013	-	(@)	-	kun␣
ep002:013	-	(@)	-	olette␣
ep002:013	4	@	-	Kristuksessa␣
ep002:013	5	@	-	Jeesuksessa
ep002:013	3	%case	LOC	
ep002:013	-	(,)	-	,␣
ep002:013	11	(@)	-	olette␣
ep002:013	6	@	-	te
ep002:013	-	(,)	-	,␣
ep002:013	7	@	-	jotka␣
ep002:013	8	@	-	ennen␣
ep002:013	9	@	-	olitte␣
ep002:013	10	@	-	kaukana
ep002:013	-	(,)	-	,␣
ep002:013	11	@	-	päässeet␣
ep002:013	12	@	-	lähelle␣
ep002:013	(16) 17a	@	-	Kristuksen␣
ep002:013	(14) 15	@	-	veressä
ep002:013	13	%case	LOC	
ep002:013	17b	.	-	.␣
ep002:014	ep002:014	ep002:014	VERSE	Ef␣2:14␣
ep002:014	2	@	-	Sillä␣
ep002:014	1	@	-	hän␣
ep002:014	3	@	-	on␣
ep002:014	6a	@	-	meidän␣
ep002:014	(4) 5	@	-	rauhamme
ep002:014	6b	,	-	,␣
ep002:014	7	@	-	hän
ep002:014	-	(,)	-	,␣
ep002:014	7	@	-	joka␣
ep002:014	8	@	-	teki␣
ep002:014	10 (9)	@	-	molemmat␣
ep002:014	11	@	-	yhdeksi␣
ep002:014	12	@	-	ja␣
ep002:014	17a	@	-	purki␣
ep002:014	(15) 16	@	-	erottavan␣
ep002:014	(13) 14	@	-	väliseinän
ep002:014	17b	,	-	,␣
ep002:014	-	(@)	-	nimittäin␣
ep002:014	(18) 19	@	-	vihollisuuden
ep002:014	-	(,)	-	,␣
ep002:015	ep002:015	ep002:015	VERSE	Ef␣2:15␣
ep002:015	7a	(@)	-	kun␣
ep002:015	7a	(@)	-	hän␣
ep002:015	23a/14	@	-	omassa␣
ep002:015	(21/14) 22/14	@	-	lihassaan␣
ep002:015	20/14	%case	LOC	
ep002:015	7a	@	-	teki␣
ep002:015	7a	@	-	tehottomaksi␣
ep002:015	(3) 4	@	-	käskyjen␣
ep002:015	(1) 2	@	-	lain␣
ep002:015	6	@	-	säädöksinensä
ep002:015	5	%case	CMT	
ep002:015	7b	,	-	,␣
ep002:015	11	@	-	luodakseen␣
ep002:015	8	%case	TRA	
ep002:015	13	@	-	itsessänsä␣
ep002:015	12	%case	LOC	
ep002:015	9	@	-	nuo␣
ep002:015	10	@	-	kaksi␣
ep002:015	16	@	-	yhdeksi␣
ep002:015	17	@	-	uudeksi␣
ep002:015	18	@	-	ihmiseksi
ep002:015	15	%case	TRA	
ep002:015	-	(,)	-	,␣
ep002:015	19	@	-	tehden␣
ep002:015	20	@	-	rauhan
ep002:015	-	(,)	-	,␣
ep002:016	ep002:016	ep002:016	VERSE	Ef␣2:16␣
ep002:016	1	@	-	ja␣
ep002:016	6	@	-	yhdessä␣
ep002:016	7	@	-	ruumiissa␣
ep002:016	5	%case	LOC	
ep002:016	2	@	-	sovittaakseen␣
ep002:016	(3) 4	@	-	molemmat␣
ep002:016	(8) 9	@	-	Jumalan␣
ep002:016	case%9	@	-	kanssa␣
ep002:016	(11) 12a	@	-	ristin␣
ep002:016	10	@	-	kautta
ep002:016	12b	,	-	,␣
ep002:016	13	@	-	kuolettaen␣
ep002:016	17a	@	-	itsensä␣
ep002:016	16	@	-	kautta␣
ep002:016	(14) 15	@	-	vihollisuuden
ep002:016	17b	.	-	.␣
ep002:017	ep002:017	ep002:017	VERSE	Ef␣2:17␣
ep002:017	1	@	-	Ja␣
ep002:017	2	(@)	-	hän␣
ep002:017	2	@	-	tuli␣
ep002:017	-	(@)	-	ja␣
ep002:017	3	@	-	julisti␣
ep002:017	4	@	-	rauhaa␣
ep002:017	5	@	-	teille
ep002:017	-	(,)	-	,␣
ep002:017	6	@	-	jotka␣
ep002:017	7	@	-	kaukana␣
ep002:017	-	(@)	-	olitte
ep002:017	-	(,)	-	,␣
ep002:017	8	@	-	ja␣
ep002:017	9	@	-	rauhaa␣
ep002:017	10	@	-	niille
ep002:017	-	(,)	-	,␣
ep002:017	10	@	-	jotka␣
ep002:017	11a	@	-	lähellä␣
ep002:017	-	(@)	-	olivat
ep002:017	11b	;	-	;␣
ep002:018	ep002:018	ep002:018	VERSE	Ef␣2:18␣
ep002:018	1	@	-	sillä␣
ep002:018	3	@	-	hänen␣
ep002:018	2	@	-	kauttansa␣
ep002:018	4	@	-	on␣
ep002:018	4	(@)	-	meillä␣
ep002:018	(7) 8	@	-	molemmilla␣
ep002:018	(5) 6	@	-	pääsy␣
ep002:018	10	@	-	yhdessä␣
ep002:018	11	@	-	Hengessä␣
ep002:018	9	%case	LOC	
ep002:018	(13) 14a	@	-	Isän␣
ep002:018	12	@	-	tykö
ep002:018	14b	.	-	.␣
ep002:019	ep002:019	ep002:019	VERSE	Ef␣2:19␣
ep002:019	1	@	-	Niin␣
ep002:019	3	@	-	ette␣
ep002:019	2	@	-	siis␣
ep002:019	3	@	-	enää␣
ep002:019	4	@	-	ole␣
ep002:019	5	@	-	vieraita␣
ep002:019	6	@	-	ettekä␣
ep002:019	7	@	-	muukalaisia
ep002:019	-	(,)	-	,␣
ep002:019	8	@	-	vaan␣
ep002:019	9	(@)	-	te␣
ep002:019	9	@	-	olette␣
ep002:019	(11) 12	@	-	pyhien␣
ep002:019	10	@	-	kansalaisia␣
ep002:019	13	@	-	ja␣
ep002:019	(15) 16a	@	-	Jumalan␣
ep002:019	14	@	-	perhettä
ep002:019	16b	,	-	,␣
ep002:020	ep002:020	ep002:020	VERSE	Ef␣2:20␣
ep002:020	(5) 6	@	-	apostolien␣
ep002:020	7	@	-	ja␣
ep002:020	8a	@	-	profeettain␣
ep002:020	(3) 4	@	-	perustukselle␣
ep002:020	2	%case	LOC	
ep002:020	1	@	-	rakennettuja
ep002:020	8b	,	-	,␣
ep002:020	(9)	-	UNTRANSLATED	
ep002:020	10	@	-	kulmakivenä␣
ep002:020	11	@	-	itse␣
ep002:020	12	@	-	Kristus␣
ep002:020	13a	@	-	Jeesus
ep002:020	13b	,	-	,␣
ep002:021	ep002:021	ep002:021	VERSE	Ef␣2:21␣
ep002:021	2	@	-	jossa␣
ep002:021	1	%case	LOC	
ep002:021	3	@	-	koko␣
ep002:021	4	@	-	rakennus␣
ep002:021	5	@	-	liittyy␣
ep002:021	5	@	-	yhteen␣
ep002:021	-	(@)	-	ja␣
ep002:021	6	@	-	kasvaa␣
ep002:021	9	@	-	pyhäksi␣
ep002:021	8	@	-	temppeliksi␣
ep002:021	7	%case	TRA	
ep002:021	11a	@	-	Herrassa
ep002:021	10	%case	LOC	
ep002:021	11b	;	-	;␣
ep002:022	ep002:022	ep002:022	VERSE	Ef␣2:22␣
ep002:022	-	(@)	-	ja␣
ep002:022	pro%2	@	-	hänessä␣
ep002:022	1	%case	LOC	
ep002:022	4	@	-	tekin␣
ep002:022	3	%clitic	kin	
ep002:022	5	@	-	yhdessä␣
ep002:022	-	(@)	-	muitten␣
ep002:022	-	(@)	-	kanssa␣
ep002:022	5	@	-	rakennutte␣
ep002:022	(8) 9	@	-	Jumalan␣
ep002:022	7	@	-	asumukseksi␣
ep002:022	6	%case	TRA	
ep002:022	11a	@	-	Hengessä
ep002:022	10	%case	LOC	
ep002:022	11b	.	-	.␣
ep003:001	ep003:001	ep003:001	VERSE	Ef␣3:1␣
ep003:001	1	@	-	Sen␣
ep003:001	2	@	-	takia␣
ep003:001	3	@	-	minä
ep003:001	-	(,)	-	,␣
ep003:001	4	@	-	Paavali
ep003:001	-	(,)	-	,␣
ep003:001	11	@	-	teidän
ep003:001	-	(,)	-	,␣
ep003:001	(12) 13a	@	-	pakanain
ep003:001	-	(,)	-	,␣
ep003:001	10	@	-	tähden␣
ep003:001	(7) 8a	@	-	Kristuksen␣
ep003:001	9a	@	-	Jeesuksen␣
ep003:001	(5) 6	@	-	vanki
ep003:001	-	(,)	-	,␣
ep003:001	-	(@)	-	notkistan␣
ep003:001	-	(@)	-	polveni␣
ep003:001	-	(-)	-	-␣
ep003:002	ep003:002	ep003:002	VERSE	Ef␣3:2␣
ep003:002	3	(@)	-	olette␣
ep003:002	1 2	@	-	kaiketi␣
ep003:002	3	@	-	kuulleet␣
ep003:002	4	@	-	siitä␣
ep003:002	(8) 9	@	-	Jumalan␣
ep003:002	(6) 7	@	-	armon␣
ep003:002	5	@	-	taloudenhoidosta
ep003:002	-	(,)	-	,␣
ep003:002	10	@	-	mikä␣
ep003:002	11	(@)	-	on␣
ep003:002	12	@	-	minulle␣
ep003:002	14a	@	-	teitä␣
ep003:002	13	@	-	varten␣
ep003:002	11	@	-	annettu
ep003:002	14b	,	-	,␣
ep003:003	ep003:003	ep003:003	VERSE	Ef␣3:3␣
ep003:003	1a	@	-	että␣
ep003:003	-	(@)	-	näet␣
ep003:003	-	(@)	-	tämä␣
ep003:003	(6) 7a	@	-	salaisuus␣
ep003:003	4	(@)	-	on␣
ep003:003	3	@	-	ilmestyksen␣
ep003:003	2	@	-	kautta␣
ep003:003	4	@	-	tehty␣
ep003:003	5	@	-	minulle␣
ep003:003	4	@	-	tiettäväksi
ep003:003	7b	,	-	,␣
ep003:003	8	@	-	niinkuin␣
ep003:003	9	(@)	-	olen␣
ep003:003	-	(@)	-	siitä␣
ep003:003	9	@	-	edellä␣
ep003:003	11a	@	-	lyhyesti␣
ep003:003	10	%case	MAN	
ep003:003	9	@	-	kirjoittanut
ep003:003	11b	;	-	;␣
ep003:004	ep003:004	ep003:004	VERSE	Ef␣3:4␣
ep003:004	2	@	-	josta␣
ep003:004	1	%case	LOC	
ep003:004	3	(@)	-	te␣
ep003:004	-	(@)	-	sitä␣
ep003:004	4	@	-	lukiessanne␣
ep003:004	3	@	-	voitte␣
ep003:004	5	@	-	huomata
ep003:004	-	(,)	-	,␣
ep003:004	-	(@)	-	kuinka␣
ep003:004	(6) 7	@	-	perehtynyt␣
ep003:004	8	@	-	minä␣
ep003:004	-	(@)	-	olen␣
ep003:004	(12) 13a	@	-	Kristuksen␣
ep003:004	(10) 11	@	-	salaisuuteen
ep003:004	9	%case	LOC	
ep003:004	13b	,	-	,␣
ep003:005	ep003:005	ep003:005	VERSE	Ef␣3:5␣
ep003:005	1	@	-	jota␣
ep003:005	2	@	-	menneiden␣
ep003:005	3	@	-	sukupolvien␣
ep003:005	case%3	@	-	aikana␣
ep003:005	4	@	-	ei␣
ep003:005	5	(@)	-	ole␣
ep003:005	(8) 9	@	-	ihmisten␣
ep003:005	(6) 7	@	-	lapsille␣
ep003:005	5	@	-	tiettäväksi␣
ep003:005	5	@	-	tehty
ep003:005	-	(,)	-	,␣
ep003:005	10	@	-	niinkuin␣
ep003:005	12	(@)	-	se␣
ep003:005	11	@	-	nyt␣
ep003:005	20a	@	-	Hengessä␣
ep003:005	19	%case	LOC	
ep003:005	12	(@)	-	on␣
ep003:005	12	@	-	ilmoitettu␣
ep003:005	16	@	-	hänen␣
ep003:005	14	@	-	pyhille␣
ep003:005	(13) 15	@	-	apostoleilleen␣
ep003:005	17	@	-	ja␣
ep003:005	18	@	-	profeetoille
ep003:005	20b	:	-	:␣
ep003:006	ep003:006	ep003:006	VERSE	Ef␣3:6␣
ep003:006	1	(@)	-	että␣
ep003:006	-	(@)	-	näet␣
ep003:006	(2) 3	@	-	pakanatkin␣
ep003:006	1	@	-	ovat␣
ep003:006	4	@	-	kanssaperillisiä␣
ep003:006	5	@	-	ja␣
ep003:006	6	@	-	yhtä␣
ep003:006	6	@	-	ruumista␣
ep003:006	7	@	-	ja␣
ep003:006	8	@	-	osallisia␣
ep003:006	10 (9)	@	-	lupaukseen␣
ep003:006	12	@	-	Kristuksessa␣
ep003:006	13	@	-	Jeesuksessa␣
ep003:006	11	%case	LOC	
ep003:006	(15) 16a	@	-	evankeliumin␣
ep003:006	14	@	-	kautta
ep003:006	16b	,	-	,␣
ep003:007	ep003:007	ep003:007	VERSE	Ef␣3:7␣
ep003:007	1	@	-	jonka␣
ep003:007	3	@	-	palvelijaksi␣
ep003:007	2	(@)	-	minä␣
ep003:007	2	(@)	-	olen␣
ep003:007	2	@	-	tullut␣
ep003:007	10 (9)	@	-	Jumalan␣
ep003:007	(7) 8	@	-	armon␣
ep003:007	(5) 6	@	-	lahjan␣
ep003:007	4	@	-	kautta
ep003:007	-	(,)	-	,␣
ep003:007	11	@	-	joka␣
ep003:007	13	@	-	minulle␣
ep003:007	12	(@)	-	on␣
ep003:007	12	@	-	annettu␣
ep003:007	19a	@	-	hänen␣
ep003:007	(17) 18	@	-	voimansa␣
ep003:007	(15) 16	@	-	vaikutuksesta
ep003:007	14	%case	LOC	
ep003:007	19b	.	-	.␣
ep003:008	ep003:008	ep003:008	VERSE	Ef␣3:8␣
ep003:008	1	@	-	Minulle
ep003:008	-	(,)	-	,␣
ep003:008	4	@	-	kaikista␣
ep003:008	5	@	-	pyhistä␣
ep003:008	(2) 3	@	-	halvimmalle
ep003:008	-	(,)	-	,␣
ep003:008	6	(@)	-	on␣
ep003:008	6	@	-	annettu␣
ep003:008	9a	@	-	tämä␣
ep003:008	(7) 8	@	-	armo
ep003:008	9b	:	-	:␣
ep003:008	12	@	-	julistaa␣
ep003:008	(10) 11	@	-	pakanoille␣
ep003:008	12	@	-	evankeliumia␣
ep003:008	(16) 17	@	-	Kristuksen␣
ep003:008	14	@	-	tutkimattomasta␣
ep003:008	(13) 15	@	-	rikkaudesta␣
ep003:009	ep003:009	ep003:009	VERSE	Ef␣3:9␣
ep003:009	1	@	-	ja␣
ep003:009	2a	@	-	saattaa␣
ep003:009	3a	@	-	kaikille␣
ep003:009	2a	@	-	ilmeiseksi
ep003:009	3b	,	-	,␣
ep003:009	4	@	-	mitä␣
ep003:009	-	(@)	-	on␣
ep003:009	7	@	-	sen␣
ep003:009	8	@	-	salaisuuden␣
ep003:009	(5) 6	@	-	taloudenhoito
ep003:009	-	(,)	-	,␣
ep003:009	9	@	-	joka␣
ep003:009	(12) 13	@	-	ikuisista␣
ep003:009	(12) 13	@	-	ajoista␣
ep003:009	11	@	-	asti␣
ep003:009	10	(@)	-	on␣
ep003:009	10	(@)	-	ollut␣
ep003:009	10	@	-	kätkettynä␣
ep003:009	(15) 16	@	-	Jumalassa
ep003:009	14	%case	LOC	
ep003:009	-	(,)	-	,␣
ep003:009	(18) 19	@	-	kaiken␣
ep003:009	(17) 20a	@	-	Luojassa
ep003:009	20b	,	-	,␣
ep003:010	ep003:010	ep003:010	VERSE	Ef␣3:10␣
ep003:010	1	@	-	että␣
ep003:010	(18) 19a	@	-	Jumalan␣
ep003:010	16	@	-	moninainen␣
ep003:010	(15) 17	@	-	viisaus␣
ep003:010	(13) 14	@	-	seurakunnan␣
ep003:010	12	@	-	kautta␣
ep003:010	3	@	-	nyt␣
ep003:010	2	@	-	tulisi␣
ep003:010	(10) 11	@	-	taivaallisten␣
ep003:010	9	%case	GEN	
ep003:010	(4) 5	@	-	hallitusten␣
ep003:010	6	@	-	ja␣
ep003:010	(7) 8	@	-	valtojen␣
ep003:010	2	@	-	tietoon␣
ep003:011	ep003:011	ep003:011	VERSE	Ef␣3:11␣
ep003:011	-	(@)	-	sen␣
ep003:011	(3) 4	@	-	iankaikkisen␣
ep003:011	2	@	-	aivoituksen␣
ep003:011	1	@	-	mukaisesti
ep003:011	-	(,)	-	,␣
ep003:011	5	@	-	jonka␣
ep003:011	6	(@)	-	hän␣
ep003:011	6	(@)	-	oli␣
ep003:011	6	@	-	säätänyt␣
ep003:011	(8) 9	@	-	Kristuksessa␣
ep003:011	10	@	-	Jeesuksessa
ep003:011	7	%case	LOC	
ep003:011	-	(,)	-	,␣
ep003:011	13a	@	-	meidän␣
ep003:011	(11) 12	@	-	Herrassamme
ep003:011	13b	,	-	,␣
ep003:012	ep003:012	ep003:012	VERSE	Ef␣3:12␣
ep003:012	2	@	-	jossa␣
ep003:012	1	%case	LOC	
ep003:012	3	(@)	-	meillä
ep003:012	-	(,)	-	,␣
ep003:012	(11) 12	@	-	uskon␣
ep003:012	10	@	-	kautta␣
ep003:012	13a	@	-	häneen
ep003:012	-	(,)	-	,␣
ep003:012	3	@	-	on␣
ep003:012	(4) 5	@	-	uskallus␣
ep003:012	6	@	-	ja␣
ep003:012	9	@	-	luottavainen␣
ep003:012	8	%case	NOM	
ep003:012	7	@	-	pääsy␣
ep003:012	-	(@)	-	Jumalan␣
ep003:012	-	(@)	-	tykö
ep003:012	13b	.	-	.␣
ep003:013	ep003:013	ep003:013	VERSE	Ef␣3:13␣
ep003:013	1	@	-	Siksi␣
ep003:013	2	(@)	-	minä␣
ep003:013	2	@	-	pyydän
ep003:013	-	(,)	-	,␣
ep003:013	3	@	-	ettette␣
ep003:013	4	@	-	lannistuisi␣
ep003:013	6	@	-	niiden␣
ep003:013	7	@	-	ahdistusten␣
ep003:013	5	@	-	vuoksi
ep003:013	-	(,)	-	,␣
ep003:013	-	(@)	-	joita␣
ep003:013	8	@	-	minä␣
ep003:013	10a	@	-	teidän␣
ep003:013	9	@	-	tähtenne␣
ep003:013	-	(@)	-	kärsin
ep003:013	10b	,	-	,␣
ep003:013	-	(@)	-	sillä␣
ep003:013	11	@	-	ne␣
ep003:013	12	@	-	ovat␣
ep003:013	14a	@	-	teidän␣
ep003:013	13	@	-	kunnianne
ep003:013	14b	.	-	.␣
ep003:014	ep003:014	ep003:014	VERSE	Ef␣3:14␣
ep003:014	1 2	@	-	Sentähden␣
ep003:014	3	(@)	-	minä␣
ep003:014	3	@	-	notkistan␣
ep003:014	(4) 5	@	-	polveni␣
ep003:014	6	%pers	?	
ep003:014	(8) 9a	@	-	Isän␣
ep003:014	7	@	-	edessä
ep003:014	9b	,	-	,␣
ep003:015	ep003:015	ep003:015	VERSE	Ef␣3:15␣
ep003:015	2	@	-	josta␣
ep003:015	1	%case	LOC	
ep003:015	3	@	-	kaikki
ep003:015	-	(,)	-	,␣
ep003:015	4	(@)	-	millä␣
ep003:015	4	@	-	isä␣
ep003:015	4	(@)	-	on
ep003:015	-	(,)	-	,␣
ep003:015	6	@	-	taivaissa␣
ep003:015	5	%case	LOC	
ep003:015	7	@	-	ja␣
ep003:015	9	@	-	maan␣
ep003:015	8	@	-	päällä
ep003:015	-	(,)	-	,␣
ep003:015	10a	@	-	saa␣
ep003:015	10a	@	-	nimensä
ep003:015	10b	,	-	,␣
ep003:016	ep003:016	ep003:016	VERSE	Ef␣3:16␣
ep003:016	1	@	-	että␣
ep003:016	2	(@)	-	hän␣
ep003:016	(7) 8	@	-	kirkkautensa␣
ep003:016	9	%pers	3	
ep003:016	(5) 6	@	-	runsauden␣
ep003:016	4	@	-	mukaisesti␣
ep003:016	2	@	-	antaisi␣
ep003:016	3	@	-	teidän
ep003:016	-	(,)	-	,␣
ep003:016	18	@	-	sisällisen␣
ep003:016	(17) 19a	@	-	ihmisenne␣
ep003:016	16	@	-	puolesta
ep003:016	-	(,)	-	,␣
ep003:016	10	@	-	voimassa␣
ep003:016	11	@	-	vahvistua␣
ep003:016	15	@	-	hänen␣
ep003:016	(13) 14	@	-	Henkensä␣
ep003:016	12	@	-	kautta␣
ep003:017	ep003:017	ep003:017	VERSE	Ef␣3:17␣
ep003:017	-	(@)	-	ja␣
ep003:017	(2) 3	@	-	Kristuksen␣
ep003:017	1	@	-	asua␣
ep003:017	(5) 6	@	-	uskon␣
ep003:017	4	@	-	kautta␣
ep003:017	10a	@	-	teidän␣
ep003:017	(8) 9	@	-	sydämissänne
ep003:017	7	%case	LOC	
ep003:017	10b	,	-	,␣
ep003:018	ep003:018	ep003:018	VERSE	Ef␣3:18␣
ep003:018	1	@	-	niin␣
ep003:018	1	@	-	että␣
ep003:018	2	(@)	-	te
ep003:018	-	(,)	-	,␣
ep003:018	12/17	@	-	rakkauteen␣
ep003:018	11/17	%case	LOC	
ep003:018	13/17	@	-	juurtuneina␣
ep003:018	14/17	@	-	ja␣
ep003:018	15a/17	@	-	perustuneina
ep003:018	-	(,)	-	,␣
ep003:018	2	@	-	voisitte␣
ep003:018	5	@	-	kaikkien␣
ep003:018	(6) 7	@	-	pyhien␣
ep003:018	4	@	-	kanssa␣
ep003:018	3	@	-	käsittää
ep003:018	-	(,)	-	,␣
ep003:018	8	@	-	mikä␣
ep003:018	10 (9)	@	-	leveys␣
ep003:018	11	@	-	ja␣
ep003:018	12	@	-	pituus␣
ep003:018	13	@	-	ja␣
ep003:018	14	@	-	korkeus␣
ep003:018	15	@	-	ja␣
ep003:018	16a	@	-	syvyys␣
ep003:018	-	(@)	-	on
ep003:018	16b	,	-	,␣
ep003:019	ep003:019	ep003:019	VERSE	Ef␣3:19␣
ep003:019	2	@	-	ja␣
ep003:019	1	@	-	oppia␣
ep003:019	1	@	-	tuntemaan␣
ep003:019	(8) 9a	@	-	Kristuksen␣
ep003:019	(3) 7	@	-	rakkauden
ep003:019	-	(,)	-	,␣
ep003:019	4	(@)	-	joka␣
ep003:019	4	@	-	on␣
ep003:019	-	(@)	-	kaikkea␣
ep003:019	(5) 6	@	-	tietoa␣
ep003:019	4	@	-	ylempänä
ep003:019	9b	;	-	;␣
ep003:019	10	@	-	että␣
ep003:019	11	@	-	tulisitte␣
ep003:019	11	@	-	täyteen␣
ep003:019	(16) 17a	@	-	Jumalan␣
ep003:019	13	@	-	kaikkea␣
ep003:019	(14) 15	@	-	täyteyttä
ep003:019	12	%case	PTV	
ep003:019	17b	.	-	.␣
ep003:020	ep003:020	ep003:020	VERSE	Ef␣3:20␣
ep003:020	2	@	-	Mutta␣
ep003:020	1	@	-	hänelle
ep003:020	-	(,)	-	,␣
ep003:020	1	@	-	joka␣
ep003:020	3	@	-	voi␣
ep003:020	6	@	-	tehdä␣
ep003:020	5	@	-	enemmän
ep003:020	4	%case	?	
ep003:020	-	(,)	-	,␣
ep003:020	7	@	-	monin␣
ep003:020	7	@	-	verroin␣
ep003:020	7	@	-	enemmän␣
ep003:020	8	@	-	kuin␣
ep003:020	-	(@)	-	kaikki
ep003:020	-	(,)	-	,␣
ep003:020	8	@	-	mitä␣
ep003:020	9	(@)	-	me␣
ep003:020	9	@	-	anomme␣
ep003:020	10	@	-	tai␣
ep003:020	11	@	-	ymmärrämme
ep003:020	-	(,)	-	,␣
ep003:020	13	@	-	sen␣
ep003:020	14	@	-	voiman␣
ep003:020	12	@	-	mukaan
ep003:020	-	(,)	-	,␣
ep003:020	15	@	-	joka␣
ep003:020	18a	@	-	meissä␣
ep003:020	17	%case	LOC	
ep003:020	16	@	-	vaikuttaa
ep003:020	18b	,	-	,␣
ep003:021	ep003:021	ep003:021	VERSE	Ef␣3:21␣
ep003:021	1	@	-	hänelle␣
ep003:021	(2) 3	@	-	kunnia␣
ep003:021	(5) 6	@	-	seurakunnassa␣
ep003:021	4	%case	LOC	
ep003:021	7	@	-	ja␣
ep003:021	9	@	-	Kristuksessa␣
ep003:021	10	@	-	Jeesuksessa␣
ep003:021	8	%case	LOC	
ep003:021	11	@	-	kautta␣
ep003:021	12	@	-	kaikkien␣
ep003:021	(13) 14	@	-	sukupolvien
ep003:021	-	(,)	-	,␣
ep003:021	(15) 16	@	-	aina␣
ep003:021	-	(@)	-	ja␣
ep003:021	(17) 18a	@	-	iankaikkisesti
ep003:021	18b	!	-	!␣
ep003:021	19a	@	-	Amen
ep003:021	19b	.	-	.␣
ep004:001	ep004:001	ep004:001	VERSE	Ef␣4:1␣
ep004:001	2	@	-	Niin␣
ep004:001	1	@	-	kehoitan␣
ep004:001	2	@	-	siis␣
ep004:001	4	@	-	minä
ep004:001	-	(,)	-	,␣
ep004:001	-	(@)	-	joka␣
ep004:001	-	(@)	-	olen␣
ep004:001	(5) 6	@	-	vankina␣
ep004:001	8	@	-	Herrassa
ep004:001	7	%case	LOC	
ep004:001	-	(,)	-	,␣
ep004:001	3	@	-	teitä␣
ep004:001	10	@	-	vaeltamaan
ep004:001	-	(,)	-	,␣
ep004:001	-	(@)	-	niinkuin␣
ep004:001	14a	@	-	saamanne␣
ep004:001	13	%inflection	PCPA.NOM&SGGEN.-2	
ep004:001	(11) 12	@	-	kutsumuksen␣
ep004:001	9	@	-	arvo␣
ep004:001	9	@	-	vaatii
ep004:001	14b	,	-	,␣
ep004:002	ep004:002	ep004:002	VERSE	Ef␣4:2␣
ep004:002	2	@	-	kaikessa␣
ep004:002	3	@	-	nöyryydessä␣
ep004:002	1	%case	LOC	
ep004:002	4	@	-	ja␣
ep004:002	5a	@	-	hiljaisuudessa␣
ep004:002	-	(@)	-	ja␣
ep004:002	7a	@	-	pitkämielisyydessä␣
ep004:002	6	%case	LOC	
ep004:002	8	@	-	kärsien␣
ep004:002	9	@	-	toinen␣
ep004:002	9	@	-	toistanne␣
ep004:002	11a	@	-	rakkaudessa␣
ep004:002	10	%case	LOC	
ep004:003	ep004:003	ep004:003	VERSE	Ef␣4:3␣
ep004:003	-	(@)	-	ja␣
ep004:003	1	@	-	pyrkien␣
ep004:003	2	@	-	säilyttämään␣
ep004:003	(5) 6	@	-	hengen␣
ep004:003	(3) 4	@	-	yhteyden␣
ep004:003	(10) 11a	@	-	rauhan␣
ep004:003	(8) 9	@	-	yhdyssiteellä
ep004:003	7	%case	LOC	
ep004:003	11b	:	-	:␣
ep004:004	ep004:004	ep004:004	VERSE	Ef␣4:4␣
ep004:004	1	@	-	yksi␣
ep004:004	2	@	-	ruumis␣
ep004:004	3	@	-	ja␣
ep004:004	4	@	-	yksi␣
ep004:004	5a	@	-	henki
ep004:004	5b	,	-	,␣
