ti001:001	ti001:001	ti001:001	VERSE	Tiit␣1:1␣
ti003:005	-	(,)	-	,␣
ti003:005	10	@	-	vaan␣
ti003:005	(12) 14	@	-	laupeutensa␣
ti003:005	13	%pers	3	
ti003:005	11	@	-	mukaan␣
ti003:005	19	@	-	uudestisyntymisen␣
ti003:005	18	@	-	peson␣
ti003:005	20	@	-	ja␣
ti003:005	23a	@	-	Pyhän␣
ti003:005	22	@	-	Hengen␣
ti003:005	21	@	-	uudistuksen␣
ti003:005	17	@	-	kautta
ti003:005	23b	,	-	,␣
ti003:006	ti003:006	ti003:006	VERSE	Tiit␣3:6␣
ti003:006	1	@	-	jonka␣
ti003:006	-	(@)	-	Hengen␣
ti003:006	2	(@)	-	hän␣
ti003:006	5	@	-	runsaasti␣
ti003:006	2	@	-	vuodatti␣
ti003:006	4	@	-	meihin␣
ti003:006	3	%case	LOC	
ti003:006	11a	@	-	meidän␣
ti003:006	10 (9)	@	-	Vapahtajamme␣
ti003:006	7	@	-	Jeesuksen␣
ti003:006	8	@	-	Kristuksen␣
ti003:006	6	@	-	kautta
ti003:006	11b	,	-	,␣
ti003:007	ti003:007	ti003:007	VERSE	Tiit␣3:7␣
ti003:007	1	@	-	että␣
ti003:007	7	(@)	-	me␣
ti003:007	2	@	-	vanhurskautettuina␣
ti003:007	4	@	-	hänen␣
ti003:007	(3) 5	@	-	armonsa␣
ti003:007	case%5	@	-	kautta␣
ti003:007	7	@	-	tulisimme␣
ti003:007	11a	@	-	iankaikkisen␣
ti003:007	10	@	-	elämän␣
ti003:007	6	@	-	perillisiksi␣
ti003:007	9	@	-	toivon␣
ti003:007	8	@	-	mukaan
ti003:007	11b	.	-	.␣
ti003:008	ti003:008	ti003:008	VERSE	Tiit␣3:8␣
ti003:008	2	@	-	Tämä␣
ti003:008	3a	@	-	sana␣
ti003:008	-	(@)	-	on␣
ti003:008	1	@	-	varma
ti003:008	3b	,	-	,␣
ti003:008	4	@	-	ja␣
ti003:008	7	(@)	-	minä␣
ti003:008	7	@	-	tahdon
ti003:008	-	(,)	-	,␣
ti003:008	9a	(@)	-	että␣
ti003:008	8	@	-	sinä␣
ti003:008	6	@	-	näitä␣
ti003:008	5	%case	PTV	
ti003:008	9a	@	-	teroitat
ti003:008	9b	,	-	,␣
ti003:008	10	@	-	niin␣
ti003:008	10	@	-	että␣
ti003:008	15	@	-	ne
ti003:008	-	(,)	-	,␣
ti003:008	15	@	-	jotka␣
ti003:008	17a	@	-	Jumalaan␣
ti003:008	16	@	-	uskovat
ti003:008	-	(,)	-	,␣
ti003:008	11	@	-	ahkeroisivat␣
ti003:008	12	@	-	hyvien␣
ti003:008	13	@	-	tekojen␣
ti003:008	14	@	-	harjoittamista
ti003:008	17b	.	-	.␣
ti003:008	18	@	-	Nämä␣
ti003:008	19	@	-	ovat␣
ti003:008	20	@	-	hyviä␣
ti003:008	21	@	-	ja␣
ti003:008	22	@	-	hyödyllisiä␣
ti003:008	(23) 24a	@	-	ihmisille
ti003:008	24b	.	-	.␣
ti003:009	ti003:009	ti003:009	VERSE	Tiit␣3:9␣
ti003:009	2	@	-	Mutta␣
ti003:009	11a	@	-	vältä␣
ti003:009	1	@	-	mielettömiä␣
ti003:009	3	@	-	riitakysymyksiä␣
ti003:009	4	@	-	ja␣
ti003:009	5	@	-	sukuluetteloita␣
ti003:009	6	@	-	ja␣
ti003:009	7	@	-	kinastelua␣
ti003:009	8	@	-	ja␣
ti003:009	9	@	-	kiistoja␣
ti003:009	10	@	-	laista
ti003:009	11b	,	-	,␣
ti003:009	13	@	-	sillä␣
ti003:009	12	(@)	-	ne␣
ti003:009	12	@	-	ovat␣
ti003:009	14	@	-	hyödyttömiä␣
ti003:009	15	@	-	ja␣
ti003:009	16a	@	-	turhia
ti003:009	16b	.	-	.␣
ti003:010	ti003:010	ti003:010	VERSE	Tiit␣3:10␣
ti003:010	1	@	-	Harhaoppista␣
ti003:010	2	@	-	ihmistä␣
ti003:010	8a	@	-	karta
ti003:010	-	(,)	-	,␣
ti003:010	7	@	-	varoitettuasi␣
ti003:010	3	%case	PTV	
ti003:010	-	(@)	-	häntä␣
ti003:010	4	@	-	kerran␣
ti003:010	5	@	-	tai␣
ti003:010	6	@	-	kahdesti
ti003:010	8b	,	-	,␣
ti003:011	ti003:011	ti003:011	VERSE	Tiit␣3:11␣
ti003:011	1	(@)	-	sillä␣
ti003:011	1	(@)	-	sinä␣
ti003:011	1	@	-	tiedät
ti003:011	-	(,)	-	,␣
ti003:011	2	@	-	että␣
ti003:011	(4) 5	@	-	semmoinen␣
ti003:011	(4) 5	(@)	-	ihminen␣
ti003:011	3	(@)	-	on␣
ti003:011	3	@	-	joutunut␣
ti003:011	3	@	-	harhaan␣
ti003:011	6	@	-	ja␣
ti003:011	7	@	-	tekee␣
ti003:011	7	@	-	syntiä
ti003:011	-	(,)	-	,␣
ti003:011	-	(@)	-	ja␣
ti003:011	8	(@)	-	hän␣
ti003:011	8	@	-	on␣
ti003:011	9a	@	-	itse␣
ti003:011	9a	@	-	itsensä␣
ti003:011	9a	@	-	tuominnut
ti003:011	9b	.	-	.␣
ti003:012	ti003:012	ti003:012	VERSE	Tiit␣3:12␣
ti003:012	1	@	-	Kun␣
ti003:012	2	@	-	lähetän␣
ti003:012	5	@	-	luoksesi␣
ti003:012	4	%case	?	
ti003:012	3	@	-	Artemaan␣
ti003:012	6	@	-	tai␣
ti003:012	7a	@	-	Tykikuksen
ti003:012	-	(,)	-	,␣
ti003:012	-	(@)	-	niin␣
ti003:012	9	@	-	tule␣
ti003:012	8	@	-	viipymättä␣
ti003:012	11	@	-	minun␣
ti003:012	10	@	-	tyköni␣
ti003:012	13a	@	-	Nikopoliin
ti003:012	12	%case	LOC	
ti003:012	13b	,	-	,␣
ti003:012	15	@	-	sillä␣
ti003:012	14	@	-	siellä␣
ti003:012	16	(@)	-	olen␣
ti003:012	16	@	-	päättänyt␣
ti003:012	17a	@	-	viettää␣
ti003:012	17a	@	-	talven
ti003:012	17b	.	-	.␣
ti003:013	ti003:013	ti003:013	VERSE	Tiit␣3:13␣
ti003:013	7a	@	-	Varusta␣
ti003:013	6	@	-	huolellisesti␣
ti003:013	7a	@	-	matkalle␣
ti003:013	1	@	-	Zeenas
ti003:013	-	(,)	-	,␣
ti003:013	(2) 3	@	-	lainoppinut
ti003:013	-	(,)	-	,␣
ti003:013	4	@	-	ja␣
ti003:013	5	@	-	Apollos
ti003:013	7b	,	-	,␣
ti003:013	8	@	-	ettei␣
ti003:013	10	@	-	heiltä␣
ti003:013	9	@	-	mitään␣
ti003:013	11a	@	-	puuttuisi
ti003:013	11b	.	-	.␣
ti003:014	ti003:014	ti003:014	VERSE	Tiit␣3:14␣
ti003:014	1	@	-	Oppikoot␣
ti003:014	(4) 5	@	-	meikäläisetkin
ti003:014	2 3	%clitic	kin	
ti003:014	-	(,)	-	,␣
ti003:014	(10) 12a	@	-	tarpeen␣
ti003:014	11	@	-	vaatiessa
ti003:014	9	%case	LOC	
ti003:014	-	(,)	-	,␣
ti003:014	8	@	-	harjoittamaan␣
ti003:014	6	@	-	hyviä␣
ti003:014	7	@	-	tekoja
ti003:014	12b	,	-	,␣
ti003:014	13 14	@	-	etteivät␣
ti003:014	15	@	-	jäisi␣
ti003:014	16a	@	-	hedelmättömiksi
ti003:014	16b	.	-	.␣
ti003:015	ti003:015	ti003:015	VERSE	Tiit␣3:15␣
ti003:015	1	@	-	Tervehdyksen␣
ti003:015	1	@	-	lähettävät␣
ti003:015	2	@	-	sinulle␣
ti003:015	6a	@	-	kaikki
ti003:015	-	(,)	-	,␣
ti003:015	3	@	-	jotka␣
ti003:015	-	(@)	-	ovat␣
ti003:015	5	@	-	minun␣
ti003:015	4	@	-	kanssani
ti003:015	6b	.	-	.␣
ti003:015	7	@	-	Sano␣
ti003:015	7	@	-	tervehdys␣
ti003:015	8	@	-	niille
ti003:015	-	(,)	-	,␣
ti003:015	8	@	-	jotka␣
ti003:015	9	@	-	pitävät␣
ti003:015	10	@	-	meitä␣
ti003:015	9	@	-	rakkaina␣
ti003:015	12a	@	-	uskossa
ti003:015	11	%case	LOC	
ti003:015	-	(.)	-	.␣
ti003:015	(13) 14	@	-	Armo␣
ti003:015	-	(@)	-	olkoon␣
ti003:015	16	@	-	kaikkien␣
ti003:015	17a	@	-	teidän␣
ti003:015	15	@	-	kanssanne
ti003:015	17b	.	-	.␣
