1p001:001	1p001:001	1p001:001	VERSE	1Pt␣1:1␣
1p002:007	-	(@)	-	on␣
1p002:007	(3) 4	@	-	kallis
1p002:007	6b	,	-	,␣
1p002:007	8	@	-	mutta␣
1p002:007	7	(@)	-	niille
1p002:007	-	(,)	-	,␣
1p002:007	7	(@)	-	jotka␣
1p002:007	7	@	-	eivät␣
1p002:007	7	@	-	usko
1p002:007	-	(,)	-	,␣
1p002:007	-	(@)	-	"
1p002:007	-	(@)	-	on␣
1p002:007	-	(@)	-	se␣
1p002:007	9	@	-	kivi
1p002:007	-	(,)	-	,␣
1p002:007	10	@	-	jonka␣
1p002:007	(12) 13a	@	-	rakentajat␣
1p002:007	11	@	-	hylkäsivät
1p002:007	-	(,)	-	,␣
1p002:007	(14)	-	UNTRANSLATED	
1p002:007	15	@	-	tullut␣
1p002:007	17 18	@	-	kulmakiveksi
1p002:007	16	%case	TRA	
1p002:007	-	(@)	-	"␣
1p002:008	1p002:008	1p002:008	VERSE	1Pt␣2:8␣
1p002:008	1	@	-	ja␣
1p002:008	-	(@)	-	"
1p002:008	2 3	@	-	kompastuskiveksi␣
1p002:008	4	@	-	ja␣
1p002:008	5 6a	@	-	loukkauskallioksi
1p002:008	6b	@	-	"
1p002:008	6b	.	-	.␣
1p002:008	11	(@)	-	Koska␣
1p002:008	11	(@)	-	he␣
1p002:008	11	@	-	eivät␣
1p002:008	11	@	-	tottele␣
1p002:008	10 (9)	@	-	sanaa
1p002:008	-	(,)	-	,␣
1p002:008	-	(@)	-	niin␣
1p002:008	7	@	-	he␣
1p002:008	8	@	-	kompastuvat
1p002:008	-	(;)	-	;␣
1p002:008	-	(@)	-	ja␣
1p002:008	13	@	-	siihen␣
1p002:008	12	%case	LOC	
1p002:008	15a	(@)	-	heidät␣
1p002:008	15a	(@)	-	on␣
1p002:008	15a	@	-	pantukin
1p002:008	14	%clitic	kin	
1p002:008	15b	.	-	.␣
1p002:009	1p002:009	1p002:009	VERSE	1Pt␣2:9␣
1p002:009	2	@	-	Mutta␣
1p002:009	1	@	-	te␣
1p002:009	-	(@)	-	olette␣
1p002:009	-	(@)	-	"
1p002:009	4a	@	-	valittu␣
1p002:009	3	@	-	suku
1p002:009	4b	,	-	,␣
1p002:009	6a	@	-	kuninkaallinen␣
1p002:009	5	@	-	papisto
1p002:009	6b	,	-	,␣
1p002:009	8a	@	-	pyhä␣
1p002:009	7	@	-	heimo
1p002:009	8b	,	-	,␣
1p002:009	11a 9	@	-	omaisuuskansa
1p002:009	10	%case	NOM	
1p002:009	11b	,	-	,␣
1p002:009	15	@	-	julistaaksenne␣
1p002:009	12	%case	TRA	
1p002:009	16	@	-	sen␣
1p002:009	(13) 14	@	-	jaloja␣
1p002:009	(13) 14	@	-	tekoja
1p002:009	-	(@)	-	"
1p002:009	-	(,)	-	,␣
1p002:009	16	@	-	joka␣
1p002:009	20	(@)	-	on␣
1p002:009	18	@	-	pimeydestä␣
1p002:009	17	%case	LOC	
1p002:009	20	@	-	kutsunut␣
1p002:009	19	@	-	teidät␣
1p002:009	(22) 23	@	-	ihmeelliseen␣
1p002:009	21	%case	LOC	
1p002:009	25a	@	-	valkeuteensa
1p002:009	24	%pers	3	
1p002:009	25b	;	-	;␣
1p002:010	1p002:010	1p002:010	VERSE	1Pt␣2:10␣
1p002:010	1	@	-	te
1p002:010	-	(,)	-	,␣
1p002:010	1	@	-	jotka␣
1p002:010	2	@	-	ennen␣
1p002:010	-	(@)	-	"
1p002:010	3	@	-	ette␣
1p002:010	-	(@)	-	olleet␣
1p002:010	4	@	-	kansa
1p002:010	-	(@)	-	"
1p002:010	-	(,)	-	,␣
1p002:010	6	@	-	mutta␣
1p002:010	5	@	-	nyt␣
1p002:010	-	(@)	-	olette␣
1p002:010	-	(@)	-	"
1p002:010	8a	@	-	Jumalan␣
1p002:010	7	@	-	kansa
1p002:010	8b	@	-	"
1p002:010	8b	,	-	,␣
1p002:010	9	@	-	jotka␣
1p002:010	-	(@)	-	ennen␣
1p002:010	-	(@)	-	"
1p002:010	10	@	-	ette␣
1p002:010	11	(@)	-	olleet␣
1p002:010	11	@	-	armahdetut
1p002:010	-	(@)	-	"
1p002:010	-	(,)	-	,␣
1p002:010	13	@	-	mutta␣
1p002:010	12	@	-	nyt␣
1p002:010	-	(@)	-	"
1p002:010	14a	(@)	-	olette␣
1p002:010	14a	@	-	armahdetut
1p002:010	14b	@	-	"
1p002:010	14b	.	-	.␣
1p002:011	1p002:011	1p002:011	VERSE	1Pt␣2:11␣
1p002:011	1a	@	-	Rakkaani
1p002:011	1b	,	-	,␣
1p002:011	3	@	-	niinkuin␣
1p002:011	4	@	-	outoja␣
1p002:011	5	@	-	ja␣
1p002:011	6	@	-	muukalaisia␣
1p002:011	2	(@)	-	minä␣
1p002:011	2	@	-	kehoitan␣
1p002:011	-	(@)	-	teitä␣
1p002:011	7	@	-	pidättymään␣
1p002:011	9	@	-	lihallisista␣
1p002:011	10 (8)	@	-	himoista
1p002:011	-	(,)	-	,␣
1p002:011	11	@	-	jotka␣
1p002:011	12	@	-	sotivat␣
1p002:011	(14) 15a	@	-	sielua␣
1p002:011	13	@	-	vastaan
1p002:011	15b	,	-	,␣
1p002:012	1p002:012	1p002:012	VERSE	1Pt␣2:12␣
1p002:012	-	(@)	-	ja␣
1p002:012	(1) 2	@	-	vaeltamaan␣
1p002:012	(3) (7)	-	UNTRANSLATED	
1p002:012	8a	@	-	nuhteettomasti␣
1p002:012	(5) 6	@	-	pakanain␣
1p002:012	4	@	-	keskuudessa
1p002:012	8b	,	-	,␣
1p002:012	9	@	-	että␣
1p002:012	-	(@)	-	he␣
1p002:012	11	@	-	siitä
1p002:012	10	%case	LOC	
1p002:012	-	(,)	-	,␣
1p002:012	11	@	-	mistä␣
1p002:012	10	%case	LOC	
1p002:012	21	(@)	-	he␣
1p002:012	12	@	-	parjaavat␣
1p002:012	13	@	-	teitä␣
1p002:012	14	@	-	niinkuin␣
1p002:012	15	@	-	pahantekijöitä
1p002:012	-	(,)	-	,␣
1p002:012	-	(@)	-	teidän␣
1p002:012	18	@	-	hyvien␣
1p002:012	(17) 19	@	-	tekojenne␣
1p002:012	16	@	-	tähden
1p002:012	-	(,)	-	,␣
1p002:012	-	(@)	-	niitä␣
1p002:012	20	@	-	tarkatessaan
1p002:012	-	(,)	-	,␣
1p002:012	21	@	-	ylistäisivät␣
1p002:012	(22) 23	@	-	Jumalaa␣
1p002:012	25 26a	@	-	etsikkopäivänä
1p002:012	24	%case	ESS	
1p002:012	26b	.	-	.␣
1p002:013	1p002:013	1p002:013	VERSE	1Pt␣2:13␣
1p002:013	1	@	-	Olkaa␣
1p002:013	1	@	-	alamaiset␣
1p002:013	2	@	-	kaikelle␣
1p002:013	3	@	-	inhimilliselle␣
1p002:013	4	@	-	järjestykselle␣
1p002:013	(6) 7a	@	-	Herran␣
1p002:013	5	@	-	tähden
1p002:013	7b	,	-	,␣
1p002:013	8	@	-	niin␣
1p002:013	8	@	-	hyvin␣
1p002:013	9	@	-	kuninkaalle
1p002:013	-	(,)	-	,␣
1p002:013	(10)	-	UNTRANSLATED	
1p002:013	11a	(@)	-	joka␣
1p002:013	11a	@	-	on␣
1p002:013	11a	@	-	ylin
1p002:013	11b	,	-	,␣
1p002:014	1p002:014	1p002:014	VERSE	1Pt␣2:14␣
1p002:014	1	@	-	kuin␣
1p002:014	2	@	-	käskynhaltijoille
1p002:014	-	(,)	-	,␣
1p002:014	pro%3	@	-	jotka␣
1p002:014	5	@	-	hän␣
1p002:014	4	%case	NOM	
1p002:014	6	(@)	-	on␣
1p002:014	6	@	-	lähettänyt␣
1p002:014	9	@	-	pahaa␣
1p002:014	9	@	-	tekeville␣
1p002:014	8	@	-	rangaistukseksi
1p002:014	7	%case	TRA	
1p002:014	-	(,)	-	,␣
1p002:014	11	@	-	mutta␣
1p002:014	12a	@	-	hyvää␣
1p002:014	12a	@	-	tekeville␣
1p002:014	10	@	-	kiitokseksi
1p002:014	12b	;	-	;␣
1p002:015	1p002:015	1p002:015	VERSE	1Pt␣2:15␣
1p002:015	1	@	-	sillä␣
1p002:015	2	@	-	se␣
1p002:015	3	@	-	on␣
1p002:015	(6) 7	@	-	Jumalan␣
1p002:015	(4) 5	@	-	tahto
1p002:015	-	(,)	-	,␣
1p002:015	-	(@)	-	että␣
1p002:015	9	(@)	-	te␣
1p002:015	8	@	-	hyvää␣
1p002:015	8	@	-	tekemällä␣
1p002:015	9	@	-	tukitte␣
1p002:015	9	@	-	suun␣
1p002:015	12	@	-	mielettömäin␣
1p002:015	(11) 13	@	-	ihmisten␣
1p002:015	(10) 14a	@	-	ymmärtämättömyydeltä␣
1p002:015	14b	-	-	-␣
1p002:016	1p002:016	1p002:016	VERSE	1Pt␣2:16␣
1p002:016	1	@	-	niinkuin␣
1p002:016	2	@	-	vapaat
1p002:016	-	(,)	-	,␣
1p002:016	(3)	-	UNTRANSLATED	
1p002:016	4	@	-	ei␣
1p002:016	5	@	-	niinkuin␣
1p002:016	7	(@)	-	ne
1p002:016	-	(,)	-	,␣
1p002:016	7	(@)	-	joilla␣
1p002:016	(10) 11	@	-	vapaus␣
1p002:016	7	@	-	on␣
1p002:016	(8) 9	@	-	pahuuden␣
1p002:016	6	@	-	verhona
1p002:016	-	(,)	-	,␣
1p002:016	12	@	-	vaan␣
1p002:016	13	@	-	niinkuin␣
1p002:016	14	@	-	Jumalan␣
1p002:016	15a	@	-	palvelijat
1p002:016	15b	.	-	.␣
1p002:017	1p002:017	1p002:017	VERSE	1Pt␣2:17␣
1p002:017	2a	@	-	Kunnioittakaa␣
1p002:017	1	@	-	kaikkia
1p002:017	-	(,)	-	,␣
1p002:017	5a	@	-	rakastakaa␣
1p002:017	(3) 4	@	-	veljiä
1p002:017	-	(,)	-	,␣
1p002:017	8a	@	-	peljätkää␣
1p002:017	(6) 7	@	-	Jumalaa
1p002:017	-	(,)	-	,␣
1p002:017	11a	@	-	kunnioittakaa␣
1p002:017	10 (9)	@	-	kuningasta
1p002:017	11b	.	-	.␣
1p002:018	1p002:018	1p002:018	VERSE	1Pt␣2:18␣
1p002:018	(1) 2	@	-	Palvelijat
1p002:018	-	(,)	-	,␣
1p002:018	3	@	-	olkaa␣
1p002:018	5	@	-	kaikella␣
1p002:018	6	@	-	pelolla␣
1p002:018	4	%case	LOC	
1p002:018	(7) 8a	@	-	isännillenne␣
1p002:018	3	@	-	alamaiset
1p002:018	8b	,	-	,␣
1p002:018	9	@	-	ei␣
1p002:018	10	@	-	ainoastaan␣
1p002:018	(11) 12	@	-	hyville␣
1p002:018	13	@	-	ja␣
1p002:018	14	@	-	lempeille
1p002:018	-	(,)	-	,␣
1p002:018	15	@	-	vaan␣
1p002:018	(17) 18a	@	-	nurjillekin
1p002:018	16	%clitic	kin	
1p002:018	18b	.	-	.␣
1p002:019	1p002:019	1p002:019	VERSE	1Pt␣2:19␣
1p002:019	2	@	-	Sillä␣
1p002:019	1	@	-	se␣
1p002:019	-	(@)	-	on␣
1p002:019	3	@	-	armoa
1p002:019	-	(,)	-	,␣
1p002:019	4	@	-	että␣
1p002:019	9	@	-	joku␣
1p002:019	6	@	-	omantunnon␣
1p002:019	5	@	-	tähden␣
1p002:019	7	@	-	Jumalan␣
1p002:019	case%7	@	-	edessä␣
1p002:019	8	@	-	kestää␣
1p002:019	10	@	-	vaivoja
1p002:019	-	(,)	-	,␣
1p002:019	12a	@	-	syyttömästi␣
1p002:019	11	@	-	kärsien
1p002:019	12b	.	-	.␣
1p002:020	1p002:020	1p002:020	VERSE	1Pt␣2:20␣
1p002:020	2	@	-	Sillä␣
1p002:020	1	@	-	mitä␣
1p002:020	3	@	-	kiitettävää␣
1p002:020	-	(@)	-	siinä␣
1p002:020	-	(@)	-	on
1p002:020	-	(,)	-	,␣
1p002:020	4	@	-	jos␣
1p002:020	8a	(@)	-	te␣
1p002:020	8a	@	-	olette␣
1p002:020	8a	@	-	kärsivällisiä␣
1p002:020	-	(@)	-	silloin
1p002:020	-	(,)	-	,␣
1p002:020	7	(@)	-	kun␣
1p002:020	7	(@)	-	teitä␣
1p002:020	5	@	-	syntienne␣
1p002:020	5	(@)	-	tähden␣
1p002:020	(6)	-	UNTRANSLATED	
1p002:020	7	@	-	piestään
1p002:020	-	(?)	-	?␣
1p002:020	9	@	-	Mutta␣
1p002:020	10	@	-	jos␣
1p002:020	14a	@	-	olette␣
1p002:020	14a	@	-	kärsivällisiä
1p002:020	-	(,)	-	,␣
1p002:020	11	(@)	-	kun␣
1p002:020	11	@	-	hyvien␣
1p002:020	11	@	-	tekojenne␣
1p002:020	11	(@)	-	tähden␣
1p002:020	(12)	-	UNTRANSLATED	
1p002:020	13	@	-	saatte␣
1p002:020	13	@	-	kärsiä
1p002:020	-	(,)	-	,␣
1p002:020	-	(@)	-	niin␣
1p002:020	15	@	-	se␣
1p002:020	-	(@)	-	on␣
1p002:020	18a	@	-	Jumalan␣
1p002:020	17	%case	GEN	
1p002:020	16	@	-	armoa
1p002:020	18b	.	-	.␣
1p002:021	1p002:021	1p002:021	VERSE	1Pt␣2:21␣
1p002:021	3	@	-	Sillä␣
1p002:021	2	@	-	siihen␣
1p002:021	1	%case	LOC	
1p002:021	4a	(@)	-	te␣
1p002:021	4a	(@)	-	olette␣
1p002:021	4a	@	-	kutsutut
1p002:021	4b	,	-	,␣
1p002:021	5	@	-	koska␣
1p002:021	7	@	-	Kristuskin␣
1p002:021	6	%clitic	kin	
1p002:021	8	@	-	kärsi␣
1p002:021	10	@	-	teidän␣
1p002:021	9	@	-	puolestanne
1p002:021	-	(,)	-	,␣
1p002:021	12	@	-	jättäen␣
1p002:021	11	@	-	teille␣
1p002:021	13	@	-	esikuvan
1p002:021	-	(,)	-	,␣
1p002:021	14	@	-	että␣
1p002:021	15	(@)	-	te␣
1p002:021	15	@	-	noudattaisitte␣
1p002:021	18a	@	-	hänen␣
1p002:021	(16) 17	@	-	jälkiänsä
1p002:021	18b	,	-	,␣
1p002:022	1p002:022	1p002:022	VERSE	1Pt␣2:22␣
1p002:022	1	@	-	joka␣
1p002:022	-	(@)	-	"
1p002:022	3	@	-	ei␣
1p002:022	2	@	-	syntiä␣
1p002:022	4	@	-	tehnyt␣
1p002:022	5	@	-	ja␣
1p002:022	11a	@	-	jonka␣
1p002:022	10 (9)	@	-	suussa␣
1p002:022	8	%case	LOC	
1p002:022	5	@	-	ei␣
1p002:022	7	@	-	petosta␣
1p002:022	6	@	-	ollut
1p002:022	11b	@	-	"
1p002:022	11b	,	-	,␣
1p002:023	1p002:023	1p002:023	VERSE	1Pt␣2:23␣
1p002:023	1	@	-	joka␣
1p002:023	-	(@)	-	häntä␣
1p002:023	2	@	-	herjattaessa␣
1p002:023	3	@	-	ei␣
1p002:023	4a	@	-	herjannut␣
1p002:023	4a	@	-	takaisin
1p002:023	4b	,	-	,␣
1p002:023	5	(@)	-	joka␣
1p002:023	5	@	-	kärsiessään␣
1p002:023	6	@	-	ei␣
1p002:023	7a	@	-	uhannut
1p002:023	7b	,	-	,␣
1p002:023	9	@	-	vaan␣
1p002:023	8	@	-	jätti␣
1p002:023	8	@	-	asiansa␣
1p002:023	10	@	-	sen␣
1p002:023	8	@	-	haltuun
1p002:023	-	(,)	-	,␣
1p002:023	10	@	-	joka␣
1p002:023	12a	@	-	oikein␣
1p002:023	11	@	-	tuomitsee
1p002:023	12b	,	-	,␣
1p002:024	1p002:024	1p002:024	VERSE	1Pt␣2:24␣
1p002:024	1	@	-	joka␣
1p002:024	-	(@)	-	"
1p002:024	5	@	-	itse␣
1p002:024	6	@	-	kantoi␣
1p002:024	4	@	-	meidän␣
1p002:024	(2) 3	@	-	syntimme
1p002:024	-	(@)	-	"␣
1p002:024	(8) 9	@	-	ruumiissansa␣
1p002:024	10	%pers	3	
1p002:024	7	%case	LOC	
1p002:024	(12) 13a	@	-	ristinpuuhun
1p002:024	11	%case	LOC	
1p002:024	13b	,	-	,␣
1p002:024	14	@	-	että␣
1p002:024	20a	(@)	-	me
1p002:024	-	(,)	-	,␣
1p002:024	(15) 16	@	-	synneistä␣
1p002:024	17	@	-	pois␣
1p002:024	17	@	-	kuolleina
1p002:024	-	(,)	-	,␣
1p002:024	20a	@	-	eläisimme␣
1p002:024	(18) 19	@	-	vanhurskaudelle
1p002:024	-	(;)	-	;␣
1p002:024	-	(@)	-	ja␣
1p002:024	21	@	-	hänen␣
1p002:024	-	(@)	-	"
1p002:024	(22) 23	@	-	haavainsa␣
1p002:024	case%23	@	-	kautta␣
1p002:024	24a	(@)	-	te␣
1p002:024	24a	(@)	-	olette␣
1p002:024	24a	@	-	paratut
1p002:024	24b	@	-	"
1p002:024	24b	.	-	.␣
1p002:025	1p002:025	1p002:025	VERSE	1Pt␣2:25␣
1p002:025	2	@	-	Sillä␣
1p002:025	1	(@)	-	te␣
1p002:025	1	@	-	olitte␣
1p002:025	-	(@)	-	"
1p002:025	5a	@	-	eksyksissä␣
1p002:025	3	@	-	niinkuin␣
1p002:025	4	@	-	lampaat
1p002:025	5b	@	-	"
1p002:025	5b	,	-	,␣
1p002:025	6	@	-	mutta␣
1p002:025	8	@	-	nyt␣
1p002:025	7	(@)	-	te␣
1p002:025	7	(@)	-	olette␣
1p002:025	7	@	-	palanneet␣
1p002:025	(14) 15	@	-	sielujenne␣
1p002:025	16a	%pers	?	
1p002:025	(10) 11	@	-	paimenen␣
1p002:025	12	@	-	ja␣
1p002:025	13	@	-	kaitsijan␣
1p002:025	9	@	-	tykö
1p002:025	16b	.	-	.␣
1p003:001	1p003:001	1p003:001	VERSE	1Pt␣3:1␣
1p003:001	1a	@	-	Samoin␣
1p003:001	pro%2a	@	-	te
1p003:001	2b	,	-	,␣
1p003:001	3a	@	-	vaimot
1p003:001	3b	,	-	,␣
1p003:001	4	@	-	olkaa␣
1p003:001	4	@	-	alamaiset␣
1p003:001	(5) 7a	@	-	miehillenne
1p003:001	6	%pers	?	
1p003:001	7b	,	-	,␣
1p003:001	8	@	-	että␣
1p003:001	11	@	-	nekin
1p003:001	-	(,)	-	,␣
1p003:001	11	@	-	jotka␣
1p003:001	10 9	@	-	ehkä␣
1p003:001	12	@	-	eivät␣
1p003:001	12	@	-	ole␣
1p003:001	(13) 14a	@	-	sanalle␣
1p003:001	12	@	-	kuuliaisia
1p003:001	14b	,	-	,␣
1p003:001	(17) 18	@	-	vaimojen␣
1p003:001	(16) 19	@	-	vaelluksen␣
1p003:001	15	@	-	kautta␣
1p003:001	21	@	-	sanoittakin␣
1p003:001	20	%case	ABE	
1p003:001	22a	@	-	voitettaisiin
1p003:001	22b	,	-	,␣
1p003:002	1p003:002	1p003:002	VERSE	1Pt␣3:2␣
1p003:002	1	(@)	-	kun␣
1p003:002	1	(@)	-	he␣
1p003:002	1	@	-	katselevat
1p003:002	-	(,)	-	,␣
1p003:002	-	(@)	-	kuinka␣
1p003:002	7a	@	-	te␣
1p003:002	(2) 6	@	-	vaellatte␣
1p003:002	5	@	-	puhtaina␣
1p003:002	-	(@)	-	ja␣
1p003:002	4	@	-	pelossa
1p003:002	3	%case	LOC	
1p003:002	7b	.	-	.␣
1p003:003	1p003:003	1p003:003	VERSE	1Pt␣3:3␣
1p003:003	3	@	-	Älköön␣
1p003:003	pro%1	@	-	teidän␣
1p003:003	14 (4)	@	-	kaunistuksenne␣
1p003:003	2	@	-	olko␣
1p003:003	5	@	-	ulkonaista
1p003:003	-	(,)	-	,␣
1p003:003	3	@	-	ei␣
1p003:003	7	@	-	hiusten␣
1p003:003	6	@	-	palmikoimista␣
1p003:003	8	@	-	eikä␣
1p003:003	10	@	-	kultien␣
1p003:003	9	@	-	ympärillenne␣
1p003:003	9	@	-	ripustamista␣
1p003:003	11	@	-	eikä␣
1p003:003	13	@	-	koreihin␣
1p003:003	13	@	-	vaatteisiin␣
1p003:003	12	@	-	pukeutumista
1p003:003	-	(,)	-	,␣
1p003:004	1p003:004	1p003:004	VERSE	1Pt␣3:4␣
1p003:004	1	@	-	vaan␣
1p003:004	-	(@)	-	se␣
1p003:004	-	(@)	-	olkoon␣
1p003:004	3	@	-	salassa␣
1p003:004	-	(@)	-	oleva␣
1p003:004	(4) 5	@	-	sydämen␣
1p003:004	(2) 6	@	-	ihminen
1p003:004	-	(,)	-	,␣
1p003:004	13	@	-	hiljaisen␣
1p003:004	12	@	-	ja␣
1p003:004	11	@	-	rauhaisan␣
1p003:004	(10) 14a	@	-	hengen␣
1p003:004	(8) 9	@	-	katoamattomuudessa
1p003:004	7	%case	LOC	
1p003:004	14b	;	-	;␣
1p003:004	15	@	-	tämä␣
1p003:004	16	@	-	on␣
1p003:004	(18) 19	@	-	Jumalan␣
1p003:004	17	@	-	silmissä␣
1p003:004	20a	@	-	kallis
1p003:004	20b	.	-	.␣
1p003:005	1p003:005	1p003:005	VERSE	1Pt␣3:5␣
1p003:005	2	@	-	Sillä␣
1p003:005	1	@	-	näin␣
1p003:005	4	@	-	myös␣
1p003:005	3	@	-	muinoin␣
1p003:005	6	@	-	pyhät␣
1p003:005	(5) 7	@	-	vaimot
1p003:005	-	(,)	-	,␣
1p003:005	8	@	-	jotka␣
1p003:005	9	@	-	panivat␣
1p003:005	9	@	-	toivonsa␣
1p003:005	11	@	-	Jumalaan
1p003:005	10	%case	LOC	
1p003:005	-	(,)	-	,␣
1p003:005	12	@	-	kaunistivat␣
1p003:005	13	@	-	itsensä␣
1p003:005	-	(@)	-	ja␣
1p003:005	14	@	-	olivat␣
1p003:005	(15) 17a	@	-	miehillensä␣
1p003:005	16	%pers	3	
1p003:005	14	@	-	alamaiset
1p003:005	17b	;	-	;␣
1p003:006	1p003:006	1p003:006	VERSE	1Pt␣3:6␣
1p003:006	1	@	-	niin␣
1p003:006	3	@	-	oli␣
1p003:006	2	@	-	Saara␣
1p003:006	3	@	-	kuuliainen␣
1p003:006	(4) 5	@	-	Aabrahamille
1p003:006	-	(,)	-	,␣
1p003:006	8a	@	-	kutsuen␣
1p003:006	7	@	-	häntä␣
1p003:006	6	@	-	herraksi
1p003:006	-	(;)	-	;␣
1p003:006	-	(@)	-	ja␣
1p003:006	9	@	-	hänen␣
1p003:006	11	@	-	lapsikseen␣
1p003:006	10	(@)	-	te␣
1p003:006	10	(@)	-	olette␣
1p003:006	10	@	-	tulleet
1p003:006	-	(,)	-	,␣
1p003:006	12	(@)	-	kun␣
1p003:006	12	@	-	teette␣
1p003:006	-	(@)	-	sitä
1p003:006	-	(,)	-	,␣
1p003:006	-	(@)	-	mikä␣
1p003:006	12	@	-	hyvää␣
1p003:006	-	(@)	-	on
1p003:006	-	(,)	-	,␣
1p003:006	14	@	-	ettekä␣
1p003:006	13	%clitic	kA	
1p003:006	tasp%15	@	-	anna␣
1p003:006	16 17a	@	-	minkään␣
1p003:006	15	@	-	itseänne␣
1p003:006	15	@	-	peljättää
1p003:006	17b	.	-	.␣
1p003:007	1p003:007	1p003:007	VERSE	1Pt␣3:7␣
1p003:007	3a	@	-	Samoin␣
1p003:007	pro%1	@	-	te
1p003:007	-	(,)	-	,␣
1p003:007	2	@	-	miehet
1p003:007	3b	,	-	,␣
1p003:007	4	@	-	eläkää␣
1p003:007	6	@	-	taidollisesti␣
1p003:007	5	%case	MAN	
1p003:007	-	(@)	-	kukin␣
1p003:007	(10) 11a	@	-	vaimonne␣
1p003:007	case%11a	@	-	kanssa
1p003:007	-	(,)	-	,␣
1p003:007	7	@	-	niinkuin␣
1p003:007	8	@	-	heikomman␣
1p003:007	9	@	-	astian␣
1p003:007	case%9	@	-	kanssa
1p003:007	-	(,)	-	,␣
1p003:007	-	(@)	-	ja␣
1p003:007	12	@	-	osoittakaa␣
1p003:007	-	(@)	-	heille␣
1p003:007	13	@	-	kunnioitusta
1p003:007	-	(,)	-	,␣
1p003:007	-	(@)	-	koska␣
1p003:007	-	(@)	-	he␣
1p003:007	-	(@)	-	ovat␣
1p003:007	18	@	-	elämän␣
1p003:007	17	@	-	armon␣
1p003:007	16	@	-	perillisiä␣
1p003:007	14 15	@	-	niinkuin␣
1p003:007	-	(@)	-	tekin
1p003:007	-	(;)	-	;␣
1p003:007	21	@	-	etteivät␣
1p003:007	25a	@	-	teidän␣
1p003:007	(23) 24	@	-	rukouksenne␣
1p003:007	(20) 22	@	-	estyisi
1p003:007	19	%case	?	
1p003:007	25b	.	-	.␣
1p003:008	1p003:008	1p003:008	VERSE	1Pt␣3:8␣
1p003:008	2	@	-	Ja␣
1p003:008	(1) 3	@	-	lopuksi
1p003:008	-	(:)	-	:␣
1p003:008	-	(@)	-	olkaa␣
1p003:008	4	@	-	kaikki␣
1p003:008	5a	@	-	yksimielisiä
1p003:008	5b	,	-	,␣
1p003:008	6a	@	-	helläsydämisiä
1p003:008	6b	,	-	,␣
1p003:008	7a	@	-	veljiä␣
1p003:008	7a	@	-	kohtaan␣
1p003:008	7a	@	-	rakkaita
1p003:008	7b	,	-	,␣
1p003:008	8a	@	-	armahtavaisia
1p003:008	8b	,	-	,␣
1p003:008	9a	@	-	nöyriä
1p003:008	9b	.	-	.␣
1p003:009	1p003:009	1p003:009	VERSE	1Pt␣3:9␣
1p003:009	1	@	-	Älkää␣
1p003:009	2	@	-	kostako␣
1p003:009	3	@	-	pahaa␣
1p003:009	5	@	-	pahalla
1p003:009	4	%case	LOC	
1p003:009	-	(,)	-	,␣
1p003:009	(6)	-	UNTRANSLATED	
1p003:009	-	(@)	-	älkää␣
1p003:009	7	@	-	herjausta␣
1p003:009	9a	@	-	herjauksella
1p003:009	8	%case	LOC	
1p003:009	9b	,	-	,␣
1p003:009	12	@	-	vaan␣
1p003:009	11	@	-	päinvastoin␣
1p003:009	13	@	-	siunatkaa
1p003:009	-	(;)	-	;␣
1p003:009	14	@	-	sillä␣
1p003:009	16	@	-	siihen␣
1p003:009	15	%case	LOC	
1p003:009	17	(@)	-	te␣
1p003:009	17	(@)	-	olette␣
1p003:009	17	@	-	kutsututkin
1p003:009	-	(,)	-	,␣
1p003:009	18	@	-	että␣
1p003:009	19	@	-	siunauksen␣
1p003:009	20a	@	-	perisitte
1p003:009	20b	.	-	.␣
1p003:010	1p003:010	1p003:010	VERSE	1Pt␣3:10␣
1p003:010	2	@	-	Sillä
1p003:010	-	(:)	-	:␣
