jm001:001	jm001:001	jm001:001	VERSE	Jaak␣1:1␣
jm002:007	-	(?)	-	?␣
jm002:008	jm002:008	jm002:008	VERSE	Jaak␣2:8␣
jm002:008	2	@	-	Vaan␣
jm002:008	1	@	-	jos␣
jm002:008	4	@	-	täytätte␣
jm002:008	5	@	-	kuninkaallisen␣
jm002:008	3	@	-	lain␣
jm002:008	(7) 8a	@	-	Raamatun␣
jm002:008	6	@	-	mukaan
jm002:008	8b	:	-	:␣
jm002:008	8b	@	-	"
jm002:008	9	@	-	Rakasta␣
jm002:008	(10) 11	@	-	lähimmäistäsi␣
jm002:008	12	%pers	?	
jm002:008	13	@	-	niinkuin␣
jm002:008	14a	@	-	itseäsi
jm002:008	-	(@)	-	"
jm002:008	-	(,)	-	,␣
jm002:008	-	(@)	-	niin␣
jm002:008	16a	(@)	-	te␣
jm002:008	15	@	-	hyvin␣
jm002:008	16a	@	-	teette
jm002:008	16b	;	-	;␣
jm002:009	jm002:009	jm002:009	VERSE	Jaak␣2:9␣
jm002:009	2	@	-	mutta␣
jm002:009	1	@	-	jos␣
jm002:009	3a	(@)	-	te␣
jm002:009	3a	@	-	henkilöön␣
jm002:009	3a	@	-	katsotte
jm002:009	-	(,)	-	,␣
jm002:009	-	(@)	-	niin␣
jm002:009	5	@	-	teette␣
jm002:009	4	@	-	syntiä
jm002:009	-	(,)	-	,␣
jm002:009	-	(@)	-	ja␣
jm002:009	(8) 9	@	-	laki␣
jm002:009	7	%case	NOM	
jm002:009	6	@	-	näyttää␣
jm002:009	-	(@)	-	teille
jm002:009	-	(,)	-	,␣
jm002:009	-	(@)	-	että␣
jm002:009	-	(@)	-	olette␣
jm002:009	11a	@	-	lainrikkojia
jm002:009	10	%case	PTV	
jm002:009	11b	.	-	.␣
jm002:010	jm002:010	jm002:010	VERSE	Jaak␣2:10␣
jm002:010	2	@	-	Sillä␣
jm002:010	1	@	-	joka␣
jm002:010	6	@	-	pitää␣
jm002:010	3	@	-	koko␣
jm002:010	(4) 5	@	-	lain
jm002:010	-	(,)	-	,␣
jm002:010	8	@	-	mutta␣
jm002:010	7	@	-	rikkoo␣
jm002:010	10a	@	-	yhtä␣
jm002:010	10a	(@)	-	kohtaa␣
jm002:010	9	@	-	vastaan
jm002:010	-	(,)	-	,␣
jm002:010	-	(@)	-	se␣
jm002:010	11	@	-	on␣
jm002:010	13a	@	-	syypää␣
jm002:010	12	@	-	kaikissa␣
jm002:010	12	(@)	-	kohdin
jm002:010	13b	.	-	.␣
jm002:011	jm002:011	jm002:011	VERSE	Jaak␣2:11␣
jm002:011	2	@	-	Sillä␣
jm002:011	1	@	-	hän
jm002:011	-	(,)	-	,␣
jm002:011	1	@	-	joka␣
jm002:011	3a	(@)	-	on␣
jm002:011	3a	@	-	sanonut
jm002:011	3b	:	-	:␣
jm002:011	3b	@	-	"
jm002:011	4	@	-	Älä␣
jm002:011	5a	@	-	tee␣
jm002:011	5a	@	-	huorin
jm002:011	5b	@	-	"
jm002:011	5b	,	-	,␣
jm002:011	6	(@)	-	on␣
jm002:011	7a	@	-	myös␣
jm002:011	6	@	-	sanonut
jm002:011	7b	:	-	:␣
jm002:011	7b	@	-	"
jm002:011	8	@	-	Älä␣
jm002:011	9a	@	-	tapa
jm002:011	9b	@	-	"
jm002:011	9b	;	-	;␣
jm002:011	10	@	-	jos␣
jm002:011	12	@	-	et␣
jm002:011	13	@	-	teekään␣
jm002:011	11	%clitic	kAAn	
jm002:011	13	@	-	huorin
jm002:011	-	(,)	-	,␣
jm002:011	15a	@	-	mutta␣
jm002:011	14	@	-	tapat
jm002:011	15b	,	-	,␣
jm002:011	16	@	-	olet␣
jm002:011	17 18a	@	-	lainrikkoja
jm002:011	18b	.	-	.␣
jm002:012	jm002:012	jm002:012	VERSE	Jaak␣2:12␣
jm002:012	2	@	-	Puhukaa␣
jm002:012	1	@	-	niin␣
jm002:012	3	@	-	ja␣
jm002:012	5	@	-	tehkää␣
jm002:012	4 6	@	-	niin~kuin␣
jm002:012	10	(@)	-	ne
jm002:012	-	(,)	-	,␣
jm002:012	10	(@)	-	jotka␣
jm002:012	9	@	-	vapauden␣
jm002:012	8	@	-	laki␣
jm002:012	7	%case	NOM	
jm002:012	11a	(@)	-	on␣
jm002:012	11a	@	-	tuomitseva
jm002:012	10	%tasp	FUTR	
jm002:012	11b	.	-	.␣
jm002:013	jm002:013	jm002:013	VERSE	Jaak␣2:13␣
jm002:013	2	@	-	Sillä␣
jm002:013	(1) 3	@	-	tuomio␣
jm002:013	-	(@)	-	on␣
jm002:013	4	@	-	laupeudeton␣
jm002:013	5	@	-	sille
jm002:013	-	(,)	-	,␣
jm002:013	5	@	-	joka␣
jm002:013	6	@	-	ei␣
jm002:013	7	(@)	-	ole␣
jm002:013	8a	@	-	laupeutta␣
jm002:013	7	@	-	tehnyt
jm002:013	8b	;	-	;␣
jm002:013	10	@	-	laupeudelle␣
jm002:013	11a	@	-	tuomio␣
jm002:013	9	@	-	koituu␣
jm002:013	9	@	-	kerskaukseksi
jm002:013	11b	.	-	.␣
jm002:014	jm002:014	jm002:014	VERSE	Jaak␣2:14␣
jm002:014	1	@	-	Mitä␣
jm002:014	(2) 3a	@	-	hyötyä
jm002:014	3b	,	-	,␣
jm002:014	4	@	-	veljeni
jm002:014	5a	%pers	?	
jm002:014	-	(,)	-	,␣
jm002:014	-	(@)	-	siitä␣
jm002:014	-	(@)	-	on
jm002:014	5b	,	-	,␣
jm002:014	6	@	-	jos␣
jm002:014	9	@	-	joku␣
jm002:014	8	@	-	sanoo␣
jm002:014	10	(@)	-	itsellään␣
jm002:014	10	@	-	olevan␣
jm002:014	7	@	-	uskon
jm002:014	-	(,)	-	,␣
jm002:014	12	@	-	mutta␣
jm002:014	14a	(@)	-	hänellä␣
jm002:014	13	@	-	ei␣
jm002:014	14a	@	-	ole␣
jm002:014	11	@	-	tekoja
jm002:014	-	(?)	-	?␣
jm002:014	15	@	-	Ei␣
jm002:014	15	@	-	kaiketi␣
jm002:014	(17) 18	@	-	usko␣
jm002:014	16	@	-	voi␣
jm002:014	20a	@	-	häntä␣
jm002:014	19	@	-	pelastaa
jm002:014	-	(?)	-	?␣
jm002:015	jm002:015	jm002:015	VERSE	Jaak␣2:15␣
jm002:015	1	@	-	Jos␣
jm002:015	2	@	-	veli␣
jm002:015	3	@	-	tai␣
jm002:015	4	@	-	sisar␣
jm002:015	6	@	-	on␣
jm002:015	5	@	-	alaston␣
jm002:015	7	@	-	ja␣
jm002:015	10	@	-	jokapäiväistä␣
jm002:015	11 (9)	@	-	ravintoa␣
jm002:015	8	@	-	vailla␣
jm002:016	jm002:016	jm002:016	VERSE	Jaak␣2:16␣
jm002:016	2	@	-	ja␣
jm002:016	3	@	-	joku␣
jm002:016	6a	@	-	teistä␣
jm002:016	5	%case	LOC	
jm002:016	1	@	-	sanoo␣
jm002:016	4	@	-	heille
jm002:016	6b	:	-	:␣
jm002:016	6b	@	-	"
jm002:016	7	@	-	Menkää␣
jm002:016	9a	@	-	rauhassa
jm002:016	8	%case	LOC	
jm002:016	9b	,	-	,␣
jm002:016	10	@	-	lämmitelkää␣
jm002:016	11	@	-	ja␣
jm002:016	12a	@	-	ravitkaa␣
jm002:016	12a	@	-	itsenne
jm002:016	12b	@	-	"
jm002:016	12b	,	-	,␣
jm002:016	15	@	-	mutta␣
jm002:016	13	@	-	ette␣
jm002:016	14	@	-	anna␣
jm002:016	16	@	-	heille␣
jm002:016	(19) 20a	@	-	ruumiin␣
jm002:016	(17) 18	@	-	tarpeita
jm002:016	-	(,)	-	,␣
jm002:016	-	(@)	-	niin␣
jm002:016	21	@	-	mitä␣
jm002:016	(22) 23a	@	-	hyötyä␣
jm002:016	-	(@)	-	siitä␣
jm002:016	-	(@)	-	on
jm002:016	-	(?)	-	?␣
jm002:017	jm002:017	jm002:017	VERSE	Jaak␣2:17␣
jm002:017	1	@	-	Samoin␣
jm002:017	(3) 4a	@	-	uskokin
jm002:017	2	%clitic	kin	
jm002:017	4b	,	-	,␣
jm002:017	5	@	-	jos␣
jm002:017	7	(@)	-	sillä␣
jm002:017	6	@	-	ei␣
jm002:017	7	@	-	ole␣
jm002:017	8a	@	-	tekoja
jm002:017	8b	,	-	,␣
jm002:017	10	@	-	on␣
jm002:017	12a	@	-	itsessään␣
jm002:017	11	%case	?	
jm002:017	9	@	-	kuollut
jm002:017	12b	.	-	.␣
jm002:018	jm002:018	jm002:018	VERSE	Jaak␣2:18␣
jm002:018	3a	@	-	Joku␣
jm002:018	1	@	-	ehkä␣
jm002:018	2	@	-	sanoo
jm002:018	3b	:	-	:␣
jm002:018	3b	@	-	"
jm002:018	4	@	-	Sinulla␣
jm002:018	6a	@	-	on␣
jm002:018	5	@	-	usko
jm002:018	6b	,	-	,␣
jm002:018	8	@	-	ja␣
jm002:018	8	@	-	minulla␣
jm002:018	10a	@	-	on␣
jm002:018	9	@	-	teot
jm002:018	10b	@	-	"
jm002:018	10b	;	-	;␣
jm002:018	11	@	-	näytä␣
jm002:018	-	(@)	-	sinä␣
jm002:018	12	@	-	minulle␣
jm002:018	(13) 14	@	-	uskosi␣
jm002:018	15	%pers	?	
jm002:018	16	@	-	ilman␣
jm002:018	(17) 18a	@	-	tekoja
jm002:018	18b	,	-	,␣
jm002:018	20	@	-	niin␣
jm002:018	20	@	-	minä␣
jm002:018	(24) 25	@	-	teoistani␣
jm002:018	26	%pers	?	
jm002:018	23	%case	LOC	
jm002:018	22	@	-	näytän␣
jm002:018	21	@	-	sinulle␣
jm002:018	(27) 28a	@	-	uskon
jm002:018	28b	.	-	.␣
jm002:019	jm002:019	jm002:019	VERSE	Jaak␣2:19␣
jm002:019	1	@	-	Sinä␣
jm002:019	2	@	-	uskot
jm002:019	-	(,)	-	,␣
jm002:019	3	@	-	että␣
jm002:019	(6) 7a	@	-	Jumala␣
jm002:019	5	@	-	on␣
jm002:019	4	@	-	yksi
jm002:019	-	(.)	-	.␣
jm002:019	-	(@)	-	Siinä␣
jm002:019	9a	@	-	teet␣
jm002:019	8	@	-	oikein
jm002:019	9b	;	-	;␣
jm002:019	(11) 12	@	-	riivaajatkin␣
jm002:019	10	%clitic	kin	
jm002:019	-	(@)	-	sen␣
jm002:019	13	@	-	uskovat␣
jm002:019	14	@	-	ja␣
jm002:019	15a	@	-	vapisevat
jm002:019	15b	.	-	.␣
jm002:020	jm002:020	jm002:020	VERSE	Jaak␣2:20␣
jm002:020	2	@	-	Mutta␣
jm002:020	1	@	-	tahdotko␣
jm002:020	3a	@	-	tietää
jm002:020	3b	,	-	,␣
jm002:020	pro%4	@	-	sinä␣
jm002:020	6a	@	-	turha␣
jm002:020	5	@	-	ihminen
jm002:020	6b	,	-	,␣
jm002:020	7	@	-	että␣
jm002:020	(8) 9	@	-	usko␣
jm002:020	10	@	-	ilman␣
jm002:020	(11) 12	@	-	tekoja␣
jm002:020	14a	@	-	on␣
jm002:020	13	@	-	voimaton
jm002:020	-	(?)	-	?␣
jm002:021	jm002:021	jm002:021	VERSE	Jaak␣2:21␣
jm002:021	5	@	-	Eikö␣
jm002:021	1	@	-	Aabraham
jm002:021	-	(,)	-	,␣
jm002:021	4	@	-	meidän␣
jm002:021	(2) 3	@	-	isämme
jm002:021	-	(,)	-	,␣
jm002:021	8	@	-	tullut␣
jm002:021	8	@	-	vanhurskaaksi␣
jm002:021	7	@	-	teoista
jm002:021	6	%case	LOC	
jm002:021	-	(,)	-	,␣
jm002:021	9	(@)	-	kun␣
jm002:021	9	@	-	vei␣
jm002:021	(11) 12	@	-	poikansa␣
jm002:021	13	%pers	3	
jm002:021	10	@	-	Iisakin␣
jm002:021	(15) 16a	@	-	uhrialttarille
jm002:021	14	%case	LOC	
jm002:021	-	(?)	-	?␣
jm002:022	jm002:022	jm002:022	VERSE	Jaak␣2:22␣
jm002:022	1	(@)	-	Sinä␣
jm002:022	1	@	-	näet
jm002:022	-	(,)	-	,␣
jm002:022	2	@	-	että␣
jm002:022	(3) 4	@	-	usko␣
jm002:022	5	@	-	vaikutti␣
jm002:022	8	@	-	hänen␣
jm002:022	(6) 7	@	-	tekojensa␣
jm002:022	5	@	-	mukana
jm002:022	-	(,)	-	,␣
jm002:022	9	@	-	ja␣
jm002:022	(11) 12	@	-	teoista␣
jm002:022	10	%case	LOC	
jm002:022	(13) 14	@	-	usko␣
jm002:022	15a	@	-	tuli␣
jm002:022	15a	@	-	täydelliseksi
jm002:022	15b	;	-	;␣
jm002:023	jm002:023	jm002:023	VERSE	Jaak␣2:23␣
jm002:023	1	@	-	ja␣
jm002:023	-	(@)	-	niin␣
jm002:023	2	@	-	toteutui␣
jm002:023	(3) 4	@	-	Raamatun␣
jm002:023	(5) 6a	@	-	sana
jm002:023	6b	:	-	:␣
jm002:023	6b	@	-	"
jm002:023	9	@	-	Aabraham␣
jm002:023	(8)	-	UNTRANSLATED	
jm002:023	7	@	-	uskoi␣
jm002:023	(10) 11a	@	-	Jumalaa
jm002:023	11b	,	-	,␣
jm002:023	12	@	-	ja␣
jm002:023	13	(@)	-	se␣
jm002:023	13	@	-	luettiin␣
jm002:023	14	@	-	hänelle␣
jm002:023	16	@	-	vanhurskaudeksi
jm002:023	15	%case	TRA	
jm002:023	-	(@)	-	"
jm002:023	-	(,)	-	,␣
jm002:023	17	@	-	ja␣
jm002:023	20a	(@)	-	häntä␣
jm002:023	20a	@	-	sanottiin␣
jm002:023	19	@	-	Jumalan␣
jm002:023	18	@	-	ystäväksi
jm002:023	20b	.	-	.␣
jm002:024	jm002:024	jm002:024	VERSE	Jaak␣2:24␣
jm002:024	1	(@)	-	Te␣
jm002:024	1	@	-	näette
jm002:024	-	(,)	-	,␣
jm002:024	2	@	-	että␣
jm002:024	6	@	-	ihminen␣
jm002:024	5	@	-	tulee␣
jm002:024	5	@	-	vanhurskaaksi␣
jm002:024	4	@	-	teoista␣
jm002:024	3	%case	LOC	
jm002:024	8	@	-	eikä␣
jm002:024	7	%clitic	kA	
jm002:024	11a	@	-	ainoastaan␣
jm002:024	10	@	-	uskosta
jm002:024	9	%case	LOC	
jm002:024	11b	.	-	.␣
jm002:025	jm002:025	jm002:025	VERSE	Jaak␣2:25␣
jm002:025	7	@	-	Eikö␣
jm002:025	2	%clitic	kO	
jm002:025	1	@	-	samoin␣
jm002:025	3	@	-	myös␣
jm002:025	(5) 6	@	-	portto␣
jm002:025	4	@	-	Raahab␣
jm002:025	10	@	-	tullut␣
jm002:025	10	@	-	vanhurskaaksi␣
jm002:025	9	@	-	teoista
jm002:025	8	%case	LOC	
jm002:025	-	(,)	-	,␣
jm002:025	11	(@)	-	kun␣
jm002:025	11	(@)	-	hän␣
jm002:025	11	@	-	otti␣
jm002:025	(12) 13	@	-	lähettiläät␣
jm002:025	11	@	-	luokseen␣
jm002:025	14	@	-	ja␣
jm002:025	17a	@	-	päästi␣
jm002:025	-	(@)	-	heidät␣
jm002:025	15	@	-	toista␣
jm002:025	16	@	-	tietä␣
jm002:025	17a	@	-	pois
jm002:025	-	(?)	-	?␣
jm002:026	jm002:026	jm002:026	VERSE	Jaak␣2:26␣
jm002:026	2	@	-	Sillä␣
jm002:026	1	@	-	niinkuin␣
jm002:026	(3) 4	@	-	ruumis␣
jm002:026	5	@	-	ilman␣
jm002:026	6	@	-	henkeä␣
jm002:026	8a	@	-	on␣
jm002:026	7	@	-	kuollut
jm002:026	8b	,	-	,␣
jm002:026	9	@	-	niin␣
jm002:026	10	@	-	myös␣
jm002:026	(11) 12	@	-	usko␣
jm002:026	13	@	-	ilman␣
jm002:026	14	@	-	tekoja␣
jm002:026	16a	@	-	on␣
jm002:026	15	@	-	kuollut
jm002:026	16b	.	-	.␣
jm003:001	jm003:001	jm003:001	VERSE	Jaak␣3:1␣
jm003:001	5	@	-	Veljeni
jm003:001	6a	%pers	?	
jm003:001	-	(,)	-	,␣
jm003:001	1	@	-	älkööt␣
jm003:001	-	(@)	-	aivan␣
jm003:001	2	@	-	monet␣
jm003:001	-	(@)	-	teistä␣
jm003:001	4a	@	-	pyrkikö␣
jm003:001	3	@	-	opettajiksi
jm003:001	6b	,	-	,␣
jm003:001	7	(@)	-	sillä␣
jm003:001	7	(@)	-	te␣
jm003:001	7	@	-	tiedätte
jm003:001	-	(,)	-	,␣
jm003:001	8	@	-	että␣
jm003:001	11a	(@)	-	me␣
jm003:001	11a	@	-	saamme␣
jm003:001	9	@	-	sitä␣
jm003:001	9	@	-	kovemman␣
jm003:001	10	@	-	tuomion
jm003:001	11b	.	-	.␣
jm003:002	jm003:002	jm003:002	VERSE	Jaak␣3:2␣
jm003:002	2	@	-	Sillä␣
jm003:002	1	@	-	monessa␣
jm003:002	1	@	-	kohden␣
jm003:002	3	(@)	-	me␣
jm003:002	4a	@	-	kaikki␣
jm003:002	3	@	-	hairahdumme
jm003:002	4b	.	-	.␣
jm003:002	5	@	-	Jos␣
jm003:002	6	@	-	joku␣
jm003:002	9	@	-	ei␣
jm003:002	10a	@	-	hairahdu␣
jm003:002	8	@	-	puheessa
jm003:002	7	%case	LOC	
jm003:002	-	(,)	-	,␣
jm003:002	-	(@)	-	niin␣
jm003:002	11	@	-	hän␣
jm003:002	-	(@)	-	on␣
jm003:002	12	@	-	täydellinen␣
jm003:002	13	@	-	mies␣
jm003:002	-	(@)	-	ja␣
jm003:002	14	@	-	kykenee␣
jm003:002	15	@	-	hillitsemään␣
jm003:002	16	@	-	myös␣
jm003:002	17	@	-	koko␣
jm003:002	(18) 19a	@	-	ruumiinsa
jm003:002	19b	.	-	.␣
jm003:003	jm003:003	jm003:003	VERSE	Jaak␣3:3␣
jm003:003	1	@	-	Kun␣
jm003:003	(2)	-	UNTRANSLATED	
jm003:003	10	@	-	panemme␣
jm003:003	(5) 6	@	-	suitset␣
jm003:003	(3) 4	@	-	hevosten␣
jm003:003	(8) 9	@	-	suuhun
jm003:003	7	%case	LOC	
jm003:003	-	(,)	-	,␣
jm003:003	11	@	-	että␣
jm003:003	14	@	-	ne␣
jm003:003	15a	@	-	meitä␣
jm003:003	(12) 13	@	-	tottelisivat
jm003:003	15b	,	-	,␣
jm003:003	16	@	-	niin␣
jm003:003	tasp%21a	@	-	voimme␣
jm003:003	21a	@	-	ohjata␣
jm003:003	20	@	-	niiden␣
jm003:003	17	@	-	koko␣
jm003:003	(18) 19	@	-	ruumiin
jm003:003	21b	.	-	.␣
jm003:004	jm003:004	jm003:004	VERSE	Jaak␣3:4␣
jm003:004	1	@	-	Katso
jm003:004	-	(,)	-	,␣
jm003:004	(3) 4	@	-	laivatkin
jm003:004	2	%clitic	kin	
jm003:004	-	(,)	-	,␣
jm003:004	6	(@)	-	vaikka␣
jm003:004	6	@	-	ovat␣
jm003:004	5	@	-	niin␣
jm003:004	5	@	-	suuria␣
jm003:004	7	@	-	ja␣
jm003:004	10	@	-	tuimain␣
jm003:004	9	@	-	tuulten␣
jm003:004	8	%case	GEN	
jm003:004	11a	@	-	kuljetettavia
jm003:004	11b	,	-	,␣
jm003:004	12	@	-	ohjataan␣
jm003:004	14	@	-	varsin␣
jm003:004	14	@	-	pienellä␣
jm003:004	15	@	-	peräsimellä
jm003:004	13	%case	LOC	
jm003:004	-	(,)	-	,␣
jm003:004	16	@	-	minne␣
jm003:004	(19) 20	@	-	perämiehen␣
jm003:004	(17) 18	@	-	mieli␣
jm003:004	21a	@	-	tekee
jm003:004	21b	.	-	.␣
jm003:005	jm003:005	jm003:005	VERSE	Jaak␣3:5␣
jm003:005	1	@	-	Samoin␣
jm003:005	2	@	-	myös␣
jm003:005	(3) 4	@	-	kieli␣
jm003:005	7	@	-	on␣
jm003:005	5	@	-	pieni␣
jm003:005	6	@	-	jäsen␣
jm003:005	8	@	-	ja␣
jm003:005	-	(@)	-	voi␣
jm003:005	-	(@)	-	kuitenkin␣
jm003:005	10a	@	-	kerskata␣
jm003:005	9	@	-	suurista␣
jm003:005	9	(@)	-	asioista
jm003:005	10b	.	-	.␣
jm003:005	11	@	-	Katso
jm003:005	-	(,)	-	,␣
jm003:005	12	@	-	kuinka␣
jm003:005	12	@	-	pieni␣
jm003:005	13	@	-	tuli
jm003:005	-	(,)	-	,␣
jm003:005	-	(@)	-	ja␣
jm003:005	14	@	-	kuinka␣
jm003:005	14	@	-	suuren␣
jm003:005	15	@	-	metsän␣
jm003:005	16a	(@)	-	se␣
jm003:005	16a	@	-	sytyttää
jm003:005	-	(!)	-	!␣
jm003:006	jm003:006	jm003:006	VERSE	Jaak␣3:6␣
jm003:006	1	@	-	Myös␣
jm003:006	(2) 3	@	-	kieli␣
jm003:006	-	(@)	-	on␣
jm003:006	4a	@	-	tuli
jm003:006	-	(,)	-	,␣
jm003:006	-	(@)	-	on␣
jm003:006	(7) 8	@	-	vääryyden␣
jm003:006	(5) 6	@	-	maailma
jm003:006	-	(;)	-	;␣
jm003:006	10 (9)	@	-	kieli␣
jm003:006	11	@	-	on␣
jm003:006	-	(@)	-	se␣
jm003:006	15a	@	-	meidän␣
jm003:006	(13) 14	@	-	jäsenistämme
jm003:006	12	%case	LOC	
jm003:006	15b	,	-	,␣
jm003:006	16	@	-	joka␣
jm003:006	17	@	-	tahraa␣
jm003:006	18	@	-	koko␣
jm003:006	(19) 20	@	-	ruumiin
jm003:006	-	(,)	-	,␣
jm003:006	(21)	-	UNTRANSLATED	
jm003:006	22	@	-	sytyttää␣
jm003:006	22	@	-	tuleen␣
jm003:006	(25) 26	@	-	elämän␣
jm003:006	(23) 24	@	-	pyörän
jm003:006	-	(,)	-	,␣
jm003:006	(27)	-	UNTRANSLATED	
jm003:006	28	@	-	itse␣
jm003:006	28	@	-	syttyen␣
jm003:006	(30) 31a	@	-	helvetistä
jm003:006	29	%case	LOC	
jm003:006	31b	.	-	.␣
jm003:007	jm003:007	jm003:007	VERSE	Jaak␣3:7␣
jm003:007	2	@	-	Sillä␣
jm003:007	1	@	-	kaiken␣
jm003:007	3	@	-	luonnon
jm003:007	-	(,)	-	,␣
jm003:007	5	@	-	sekä␣
jm003:007	4	@	-	petojen␣
jm003:007	6	@	-	että␣
jm003:007	7a	@	-	lintujen
jm003:007	-	(,)	-	,␣
jm003:007	9	@	-	sekä␣
jm003:007	8	@	-	matelijain␣
jm003:007	10	@	-	että␣
jm003:007	11	@	-	merieläinten␣
jm003:007	-	(@)	-	luonnon
jm003:007	-	(,)	-	,␣
jm003:007	tasp%12	@	-	voi␣
jm003:007	(15) 16 (17) 18a	@	-	ihmisluonto␣
jm003:007	12	@	-	kesyttää␣
jm003:007	13	@	-	ja␣
jm003:007	14	(@)	-	onkin␣
jm003:007	14	@	-	kesyttänyt
jm003:007	18b	;	-	;␣
jm003:008	jm003:008	jm003:008	VERSE	Jaak␣3:8␣
jm003:008	2	@	-	mutta␣
jm003:008	(1) 3	@	-	kieltä␣
jm003:008	4	@	-	ei␣
jm003:008	4	@	-	kukaan␣
jm003:008	7a	@	-	ihminen␣
jm003:008	6	@	-	voi␣
jm003:008	5	@	-	kesyttää
jm003:008	-	(;)	-	;␣
jm003:008	-	(@)	-	se␣
jm003:008	-	(@)	-	on␣
jm003:008	8	@	-	levoton␣
jm003:008	-	(@)	-	ja␣
jm003:008	9a	@	-	paha
jm003:008	9b	,	-	,␣
jm003:008	10	@	-	täynnä␣
jm003:008	12a	@	-	kuolettavaa␣
jm003:008	11	@	-	myrkkyä
jm003:008	12b	.	-	.␣
jm003:009	jm003:009	jm003:009	VERSE	Jaak␣3:9␣
jm003:009	pro%2	@	-	Kielellä␣
jm003:009	1	%case	LOC	
jm003:009	3	(@)	-	me␣
jm003:009	3	@	-	kiitämme␣
jm003:009	(4) 5	@	-	Herraa␣
jm003:009	6	@	-	ja␣
jm003:009	7	@	-	Isää
jm003:009	-	(,)	-	,␣
jm003:009	8	@	-	ja␣
jm003:009	10	@	-	sillä␣
jm003:009	9	%case	LOC	
jm003:009	11	(@)	-	me␣
jm003:009	11	@	-	kiroamme␣
jm003:009	(12) 13	@	-	ihmisiä
jm003:009	-	(,)	-	,␣
jm003:009	17	@	-	Jumalan␣
jm003:009	16	@	-	kaltaisiksi␣
jm003:009	15	%case	TRA	
jm003:009	(14) 18a	@	-	luotuja
jm003:009	18b	;	-	;␣
jm003:010	jm003:010	jm003:010	VERSE	Jaak␣3:10␣
jm003:010	3	@	-	samasta␣
jm003:010	(2) 4	@	-	suusta␣
jm003:010	1	%case	LOC	
jm003:010	5	@	-	lähtee␣
jm003:010	6	@	-	kiitos␣
jm003:010	7	@	-	ja␣
jm003:010	8a	@	-	kirous
jm003:010	8b	.	-	.␣
jm003:010	14	@	-	Näin␣
jm003:010	9	@	-	ei␣
jm003:010	10a	@	-	saa␣
jm003:010	15a	@	-	olla
jm003:010	-	(,)	-	,␣
jm003:010	11	@	-	veljeni
jm003:010	12a	%pers	?	
jm003:010	(13)	-	UNTRANSLATED	
jm003:010	15b	.	-	.␣
jm003:011	jm003:011	jm003:011	VERSE	Jaak␣3:11␣
jm003:011	8	@	-	Uhkuuko␣
jm003:011	1	%clitic	kO	
jm003:011	(2) 3	@	-	lähde␣
jm003:011	6	@	-	samasta␣
jm003:011	(5) 7	@	-	silmästä␣
jm003:011	4	%case	LOC	
jm003:011	10 (9)	@	-	makeaa␣
jm003:011	11	@	-	ja␣
jm003:011	(12) 13a	@	-	karvasta␣
jm003:011	-	(@)	-	vettä
jm003:011	-	(?)	-	?␣
jm003:012	jm003:012	jm003:012	VERSE	Jaak␣3:12␣
jm003:012	1	@	-	Eihän
jm003:012	-	(,)	-	,␣
jm003:012	3	@	-	veljeni
jm003:012	4a	%pers	?	
jm003:012	-	(,)	-	,␣
jm003:012	5	@	-	viikunapuu␣
jm003:012	2a	@	-	voi␣
jm003:012	7	@	-	tuottaa␣
jm003:012	6	@	-	öljymarjoja␣
jm003:012	8	@	-	eikä␣
jm003:012	9	@	-	viinipuu␣
jm003:012	10a	@	-	viikunoita
jm003:012	-	(?)	-	?␣
jm003:012	11	@	-	Eikä␣
jm003:012	-	(@)	-	myöskään␣
jm003:012	12	@	-	suolainen␣
jm003:012	-	(@)	-	lähde␣
jm003:012	tasp%14	@	-	voi␣
jm003:012	14	@	-	antaa␣
jm003:012	13	@	-	makeata␣
jm003:012	15a	@	-	vettä
jm003:012	15b	.	-	.␣
jm003:013	jm003:013	jm003:013	VERSE	Jaak␣3:13␣
jm003:013	1	@	-	Kuka␣
jm003:013	-	(@)	-	on␣
jm003:013	2	@	-	viisas␣
jm003:013	3	@	-	ja␣
jm003:013	4	@	-	ymmärtäväinen␣
jm003:013	6a	@	-	teidän␣
jm003:013	5	@	-	joukossanne
jm003:013	-	(?)	-	?␣
jm003:013	7	@	-	Tuokoon␣
jm003:013	7	(@)	-	hän␣
jm003:013	7	@	-	näkyviin␣
jm003:013	(12) 13	@	-	tekonsa␣
jm003:013	14	%pers	3	
jm003:013	10	@	-	hyvällä␣
jm003:013	11 (9)	@	-	vaelluksellaan␣
jm003:013	8	%case	LOC	
jm003:013	17a	@	-	viisauden␣
jm003:013	16	@	-	sävyisyydessä
jm003:013	15	%case	LOC	
jm003:013	17b	.	-	.␣
jm003:014	jm003:014	jm003:014	VERSE	Jaak␣3:14␣
jm003:014	2	@	-	Mutta␣
jm003:014	1	@	-	jos␣
jm003:014	5	(@)	-	teillä␣
jm003:014	5	@	-	on␣
jm003:014	4	@	-	katkera␣
jm003:014	3	@	-	kiivaus␣
jm003:014	6	@	-	ja␣
jm003:014	7	@	-	riitaisuus␣
jm003:014	10 (9)	@	-	sydämessänne
jm003:014	11a	%pers	?	
jm003:014	8	%case	LOC	
jm003:014	-	(,)	-	,␣
jm003:014	-	(@)	-	niin␣
jm003:014	12	@	-	älkää␣
jm003:014	13	@	-	kerskatko␣
