lm001:001	lm001:001	lm001:001	VERSE	Val␣1:1␣
lm001:021	17	@	-	päivän
lm001:021	-	(,)	-	,␣
lm001:021	-	(@)	-	jonka␣
lm001:021	18	(@)	-	olit␣
lm001:021	18	@	-	ilmoittanut
lm001:021	-	(.)	-	.␣
lm001:021	19a	@	-	Mutta␣
lm001:021	19b	@	-	käyköön␣
lm001:021	19b	(@)	-	heidän␣
lm001:021	20	@	-	samoin~kuin␣
lm001:021	pers%20	@	-	minun
lm001:021	-	(.)	-	.␣
lm001:022	lm001:022	lm001:022	VERSE	Val␣1:22␣
lm001:022	1	@	-	Tulkoon␣
lm001:022	2	@	-	kaikki␣
lm001:022	pers%3	@	-	heidän␣
lm001:022	3	@	-	pahuutensa␣
lm001:022	pers%4b	@	-	sinun␣
lm001:022	4b	@	-	kasvojesi␣
lm001:022	4a	@	-	eteen
lm001:022	-	(,)	-	,␣
lm001:022	5a	@	-	ja␣
lm001:022	5b	(@)	-	pane␣
lm001:022	6	@	-	heille␣
lm001:022	5b	@	-	kannettavaksi␣
lm001:022	7b	@	-	se
lm001:022	-	(,)	-	,␣
lm001:022	7b	@	-	minkä␣
lm001:022	7a	%case	GEN	
lm001:022	8	(@)	-	olet␣
lm001:022	9	@	-	minulle␣
lm001:022	8	@	-	pannut␣
lm001:022	11	@	-	kaikkien␣
lm001:022	pers%12	@	-	minun␣
lm001:022	12	@	-	rikoksieni␣
lm001:022	10	@	-	tähden
lm001:022	-	(.)	-	.␣
lm001:022	13	@	-	Sillä␣
lm001:022	14	@	-	monet␣
lm001:022	-	(@)	-	ovat␣
lm001:022	pers%15	@	-	minun␣
lm001:022	15	@	-	huokaukseni
lm001:022	-	(,)	-	,␣
lm001:022	16a	@	-	ja␣
lm001:022	pers%16b	@	-	minun␣
lm001:022	16b	@	-	sydämeni␣
lm001:022	-	(@)	-	on␣
lm001:022	17	@	-	sairas
lm001:022	-	(.)	-	.␣
lm002:001	lm002:001	lm002:001	VERSE	Val␣2:1␣
lm002:001	1	@	-	Kuinka␣
lm002:001	2	(@)	-	onkaan␣
lm002:001	4	@	-	Herra␣
lm002:001	3b	@	-	vihassaan␣
lm002:001	3a	%case	LOC	
lm002:001	2	@	-	pilvillä␣
lm002:001	2	@	-	peittänyt␣
lm002:001	6	@	-	tytär␣
lm002:001	5	%case	NOM	
lm002:001	7	@	-	Siionin
lm002:001	-	(!)	-	!␣
lm002:001	8	(@)	-	Hän␣
lm002:001	8	@	-	heitti␣
lm002:001	9b	@	-	taivaasta␣
lm002:001	9a	%case	LOC	
lm002:001	10	@	-	maahan␣
lm002:001	12	@	-	Israelin␣
lm002:001	11	@	-	kunnian␣
lm002:001	13b	@	-	eikä␣
lm002:001	13a	%clitic	kA	
lm002:001	14	@	-	muistanut␣
lm002:001	16	@	-	jalkainsa␣
lm002:001	15	@	-	astinlautaa␣
lm002:001	18	@	-	vihansa␣
lm002:001	17b	@	-	päivänä
lm002:001	17a	%case	ESS	
lm002:001	-	(.)	-	.␣
lm002:002	lm002:002	lm002:002	VERSE	Val␣2:2␣
lm002:002	2	@	-	Herra␣
lm002:002	1	(@)	-	on␣
lm002:002	1	@	-	hävittänyt␣
lm002:002	5	@	-	säälimättä␣
lm002:002	4b	%case	ABE	
lm002:002	7	@	-	kaikki␣
lm002:002	6	%case	NOM	
lm002:002	9	@	-	Jaakobin␣
lm002:002	8	@	-	majat
lm002:002	-	(,)	-	,␣
lm002:002	10	(@)	-	on␣
lm002:002	10	@	-	hajottanut␣
lm002:002	11b	@	-	vihastuksissaan␣
lm002:002	11a	%case	LOC	
lm002:002	13	@	-	tytär␣
lm002:002	14	@	-	Juudan␣
lm002:002	12	@	-	linnoitukset
lm002:002	-	(,)	-	,␣
lm002:002	15	@	-	pannut␣
lm002:002	-	(@)	-	ne␣
lm002:002	16b	@	-	maan␣
lm002:002	16a	@	-	tasalle
lm002:002	-	(.)	-	.␣
lm002:002	17	(@)	-	Hän␣
lm002:002	17	(@)	-	on␣
lm002:002	17	@	-	häväissyt␣
lm002:002	18	@	-	valtakunnan␣
lm002:002	19a	@	-	ja␣
lm002:002	pers%19b	@	-	sen␣
lm002:002	19b	@	-	ruhtinaat
lm002:002	-	(.)	-	.␣
lm002:003	lm002:003	lm002:003	VERSE	Val␣2:3␣
lm002:003	1	(@)	-	Hän␣
lm002:003	1	(@)	-	on␣
lm002:003	3	@	-	vihan␣
lm002:003	2b	@	-	hehkussa␣
lm002:003	2a	%case	LOC	
lm002:003	1	@	-	hakannut␣
lm002:003	1	@	-	poikki␣
lm002:003	6	@	-	Israelin␣
lm002:003	5	@	-	sarven␣
lm002:003	4	@	-	kokonansa
lm002:003	-	(.)	-	.␣
lm002:003	7	(@)	-	Hän␣
lm002:003	7	@	-	veti␣
lm002:003	9	@	-	oikean␣
lm002:003	9	@	-	kätensä␣
lm002:003	8	@	-	takaisin␣
lm002:003	11	@	-	vihamiehen␣
lm002:003	10b	@	-	edestä␣
lm002:003	10a	%case	LOC	
lm002:003	12a	@	-	ja␣
lm002:003	12b	@	-	poltti␣
lm002:003	13b	@	-	Jaakobia␣
lm002:003	13a	%case	PTV	
lm002:003	14a	@	-	kuin␣
lm002:003	15	@	-	liekitsevä␣
lm002:003	14b	@	-	tuli
lm002:003	-	(,)	-	,␣
lm002:003	-	(@)	-	joka␣
lm002:003	16	@	-	kuluttaa␣
lm002:003	-	(@)	-	kaiken␣
lm002:003	17	@	-	yltympäri
lm002:003	-	(.)	-	.␣
lm002:004	lm002:004	lm002:004	VERSE	Val␣2:4␣
lm002:004	1	(@)	-	Hän␣
lm002:004	1	@	-	jännitti␣
lm002:004	2	@	-	jousensa␣
lm002:004	3a	@	-	kuin␣
lm002:004	3b	@	-	vihamies
lm002:004	-	(,)	-	,␣
lm002:004	4	@	-	seisoi␣
lm002:004	5	@	-	oikea␣
lm002:004	5	@	-	käsi␣
lm002:004	4	@	-	koholla␣
lm002:004	6a	@	-	kuin␣
lm002:004	6b	@	-	vihollinen␣
lm002:004	7a	@	-	ja␣
lm002:004	7b	@	-	tappoi␣
lm002:004	8	@	-	kaiken
lm002:004	-	(,)	-	,␣
lm002:004	9	@	-	mihin␣
lm002:004	10	@	-	silmä␣
lm002:004	9	(@)	-	oli␣
lm002:004	9	@	-	ihastunut
lm002:004	-	(.)	-	.␣
lm002:004	12	@	-	Tytär␣
lm002:004	13	@	-	Siionin␣
lm002:004	11b	@	-	majaan␣
lm002:004	11a	%case	LOC	
lm002:004	14	(@)	-	hän␣
lm002:004	14	@	-	vuodatti␣
lm002:004	16	@	-	kiivautensa␣
lm002:004	15a	@	-	kuin␣
lm002:004	15b	@	-	tulen
lm002:004	-	(.)	-	.␣
lm002:005	lm002:005	lm002:005	VERSE	Val␣2:5␣
lm002:005	2	@	-	Herra␣
lm002:005	1	(@)	-	on␣
lm002:005	1	@	-	ollut␣
lm002:005	3a	@	-	niinkuin␣
lm002:005	3b	@	-	vihamies
lm002:005	-	(,)	-	,␣
lm002:005	4	(@)	-	on␣
lm002:005	4	@	-	hävittänyt␣
lm002:005	5	@	-	Israelin
lm002:005	-	(:)	-	:␣
lm002:005	6	(@)	-	hän␣
lm002:005	6	@	-	hävitti␣
lm002:005	7	@	-	kaikki␣
lm002:005	pers%8	@	-	sen␣
lm002:005	8	@	-	palatsit
lm002:005	-	(,)	-	,␣
lm002:005	9	@	-	turmeli␣
lm002:005	pers%10	@	-	sen␣
lm002:005	10	@	-	linnoitukset␣
lm002:005	11a	@	-	ja␣
lm002:005	11b	@	-	antoi␣
lm002:005	12b	@	-	tytär␣
lm002:005	12a	%case	NOM	
lm002:005	13	@	-	Juudalle␣
lm002:005	11b	@	-	paljon␣
lm002:005	14	@	-	valitusta␣
lm002:005	15a	@	-	ja␣
lm002:005	15b	@	-	vaikerrusta
lm002:005	-	(.)	-	.␣
lm002:006	lm002:006	lm002:006	VERSE	Val␣2:6␣
lm002:006	(1a)	-	UNTRANSLATED	
lm002:006	1b	(@)	-	Hän␣
lm002:006	1b	@	-	särki␣
lm002:006	3	@	-	aitauksensa␣
lm002:006	2a	@	-	niinkuin␣
lm002:006	2b	@	-	puutarhan␣
lm002:006	2b	(@)	-	aidan
lm002:006	-	(,)	-	,␣
lm002:006	4	@	-	hävitti␣
lm002:006	5	@	-	juhlanviettopaikkansa
lm002:006	-	(.)	-	.␣
lm002:006	7	@	-	Herra␣
lm002:006	6	(@)	-	on␣
lm002:006	6	(@)	-	saattanut␣
lm002:006	6	@	-	unhotuksiin␣
lm002:006	8b	@	-	Siionissa␣
lm002:006	8a	%case	LOC	
lm002:006	9	@	-	juhla-ajat␣
lm002:006	10a	@	-	ja␣
lm002:006	10b	@	-	sapatit␣
lm002:006	11a	@	-	ja␣
lm002:006	11b	(@)	-	on␣
lm002:006	13	@	-	kiivaassa␣
lm002:006	12b	@	-	suuttumuksessaan␣
lm002:006	12a	%case	LOC	
lm002:006	11b	@	-	pitänyt␣
lm002:006	11b	@	-	halpana␣
lm002:006	14	@	-	kuninkaat␣
lm002:006	15a	@	-	ja␣
lm002:006	15b	@	-	papit
lm002:006	-	(.)	-	.␣
lm002:007	lm002:007	lm002:007	VERSE	Val␣2:7␣
lm002:007	2	@	-	Herra␣
lm002:007	1	(@)	-	on␣
lm002:007	1	@	-	hyljännyt␣
lm002:007	3	@	-	alttarinsa
lm002:007	-	(,)	-	,␣
lm002:007	4	@	-	syössyt␣
lm002:007	4	@	-	häväistykseen␣
lm002:007	5	@	-	pyhäkkönsä
lm002:007	-	(,)	-	,␣
lm002:007	6	@	-	luovuttanut␣
lm002:007	8	@	-	vihamiehen␣
lm002:007	7b	@	-	käteen␣
lm002:007	7a	%case	LOC	
lm002:007	10	@	-	palatsiensa␣
lm002:007	9	@	-	muurit
lm002:007	-	(.)	-	.␣
lm002:007	12	(@)	-	He␣
lm002:007	12	@	-	nostivat␣
lm002:007	11	@	-	huudon␣
lm002:007	14	@	-	Herran␣
lm002:007	13b	@	-	huoneessa
lm002:007	13a	%case	LOC	
lm002:007	-	(,)	-	,␣
lm002:007	-	(@)	-	huudon␣
lm002:007	15a	@	-	kuin␣
lm002:007	15b 16	@	-	juhlapäivänä
lm002:007	-	(.)	-	.␣
lm002:008	lm002:008	lm002:008	VERSE	Val␣2:8␣
lm002:008	2	@	-	Herra␣
lm002:008	1	(@)	-	oli␣
lm002:008	1	@	-	päättänyt␣
lm002:008	3b	@	-	turmella␣
lm002:008	3a	%case	LAT	
lm002:008	5	@	-	tytär␣
lm002:008	6	@	-	Siionin␣
lm002:008	4	@	-	muurit
lm002:008	-	(:)	-	:␣
lm002:008	7	(@)	-	hän␣
lm002:008	7	@	-	jännitti␣
lm002:008	8	@	-	mittanuoran
lm002:008	-	(,)	-	,␣
lm002:008	9	@	-	ei␣
lm002:008	10	@	-	pidättänyt␣
lm002:008	11	@	-	kättänsä␣
lm002:008	12b	@	-	hävittämästä
lm002:008	12a	%case	LOC	
lm002:008	(13a)	-	UNTRANSLATED	
lm002:008	-	(,)	-	,␣
lm002:008	13b	@	-	saattoi␣
lm002:008	13b	@	-	murheeseen␣
lm002:008	14	@	-	varustukset␣
lm002:008	15a	@	-	ja␣
lm002:008	15b	@	-	muurit
lm002:008	-	(;)	-	;␣
lm002:008	17	(@)	-	ne␣
lm002:008	16	@	-	yhdessä␣
lm002:008	17	@	-	nääntyvät
lm002:008	-	(.)	-	.␣
lm002:009	lm002:009	lm002:009	VERSE	Val␣2:9␣
lm002:009	pers%3	@	-	Sen␣
lm002:009	3	@	-	portit␣
lm002:009	1	(@)	-	ovat␣
lm002:009	1	@	-	vajonneet␣
lm002:009	2b	@	-	maahan
lm002:009	2a	%case	LOC	
lm002:009	-	(,)	-	,␣
lm002:009	4	(@)	-	hän␣
lm002:009	4	@	-	poisti␣
lm002:009	5a	@	-	ja␣
lm002:009	5b	@	-	särki␣
lm002:009	pers%6	@	-	sen␣
lm002:009	6	@	-	salvat
lm002:009	-	(.)	-	.␣
lm002:009	pers%7	@	-	Sen␣
lm002:009	7	@	-	kuningas␣
lm002:009	8a	@	-	ja␣
lm002:009	8b	@	-	ruhtinaat␣
lm002:009	-	(@)	-	ovat␣
lm002:009	9b	@	-	pakanain␣
lm002:009	9a	@	-	seassa
lm002:009	-	(;)	-	;␣
lm002:009	11	@	-	lakia␣
lm002:009	10	@	-	ei␣
lm002:009	10	@	-	ole
lm002:009	-	(,)	-	,␣
lm002:009	14	@	-	eivätkä␣
lm002:009	12	%clitic	kA	
lm002:009	pers%13	@	-	sen␣
lm002:009	13	@	-	profeetat␣
lm002:009	15	@	-	saa␣
lm002:009	16	@	-	näkyjä␣
lm002:009	17b	@	-	Herralta
lm002:009	17a	%case	LOC	
lm002:009	-	(.)	-	.␣
lm002:010	lm002:010	lm002:010	VERSE	Val␣2:10␣
lm002:010	2b	@	-	Maassa␣
lm002:010	2a	%case	LOC	
lm002:010	1	@	-	istuvat␣
lm002:010	3	@	-	ääneti␣
lm002:010	5	@	-	tytär␣
lm002:010	6	@	-	Siionin␣
lm002:010	4	@	-	vanhimmat
lm002:010	-	(.)	-	.␣
lm002:010	7	(@)	-	He␣
lm002:010	7	(@)	-	ovat␣
lm002:010	7	@	-	heittäneet␣
lm002:010	8	@	-	tomua␣
lm002:010	10	@	-	päänsä␣
lm002:010	9	@	-	päälle
lm002:010	-	(,)	-	,␣
lm002:010	11	@	-	vyöttäytyneet␣
lm002:010	12	@	-	säkkeihin
lm002:010	-	(;)	-	;␣
lm002:010	14b	@	-	maata␣
lm002:010	14a	@	-	kohden␣
lm002:010	13	(@)	-	ovat␣
lm002:010	13	@	-	painaneet␣
lm002:010	15	@	-	päänsä␣
lm002:010	17	@	-	Jerusalemin␣
lm002:010	16	@	-	neitsyet
lm002:010	-	(.)	-	.␣
lm002:011	lm002:011	lm002:011	VERSE	Val␣2:11␣
lm002:011	pers%3	@	-	Minun␣
lm002:011	3	@	-	silmäni␣
lm002:011	1	(@)	-	ovat␣
lm002:011	2b	@	-	itkusta␣
lm002:011	2a	%case	LOC	
lm002:011	1	@	-	hiuenneet
lm002:011	-	(,)	-	,␣
lm002:011	pers%5	@	-	minun␣
lm002:011	5	@	-	sisukseni␣
lm002:011	4	@	-	kuohuvat
lm002:011	-	(,)	-	,␣
lm002:011	pers%8	@	-	minun␣
lm002:011	8	@	-	maksani␣
lm002:011	6	(@)	-	on␣
lm002:011	7b	@	-	maahan␣
lm002:011	7a	%case	LOC	
lm002:011	6	@	-	vuodatettu␣
lm002:011	11	@	-	tyttären
lm002:011	-	(,)	-	,␣
lm002:011	pers%12	@	-	minun␣
lm002:011	12	@	-	kansani
lm002:011	-	(,)	-	,␣
lm002:011	10	@	-	sortumisen␣
lm002:011	9	@	-	tähden
lm002:011	-	(.)	-	.␣
lm002:011	13a	@	-	Sillä␣
lm002:011	14	@	-	lapset␣
lm002:011	15a	@	-	ja␣
lm002:011	15b	@	-	imeväiset␣
lm002:011	13b	@	-	nääntyvät␣
lm002:011	17	@	-	kaupungin␣
lm002:011	16b	@	-	kaduilla
lm002:011	16a	%case	LOC	
lm002:011	-	(.)	-	.␣
lm002:012	lm002:012	lm002:012	VERSE	Val␣2:12␣
lm002:012	2	(@)	-	He␣
lm002:012	2	@	-	sanovat␣
lm002:012	1b	@	-	äideillensä
lm002:012	1a	%case	LOC	
lm002:012	-	(:)	-	:␣
lm002:012	-	(@)	-	"
lm002:012	3	@	-	Missä␣
lm002:012	-	(@)	-	on␣
lm002:012	4	@	-	leipää␣
lm002:012	5a	@	-	ja␣
lm002:012	5b	@	-	viiniä
lm002:012	-	(?)	-	?
lm002:012	-	(@)	-	"␣
lm002:012	6a	@	-	kun␣
lm002:012	pers%6b	@	-	he␣
lm002:012	6b	@	-	nääntyvät␣
lm002:012	7a	@	-	niinkuin␣
lm002:012	7b	@	-	kaatuneet␣
lm002:012	9	@	-	kaupungin␣
lm002:012	8b	@	-	kaduilla
lm002:012	8a	%case	LOC	
lm002:012	-	(,)	-	,␣
lm002:012	10b	@	-	heittävät␣
lm002:012	10a	%case	?	
lm002:012	11	@	-	henkensä␣
lm002:012	14	@	-	äitiensä␣
lm002:012	13	@	-	syliin
lm002:012	12	%case	LOC	
lm002:012	-	(.)	-	.␣
lm002:013	lm002:013	lm002:013	VERSE	Val␣2:13␣
lm002:013	1	@	-	Minkä␣
lm002:013	pers%2	@	-	sinulle␣
lm002:013	2	@	-	mainitsisin
lm002:013	-	(,)	-	,␣
lm002:013	3	@	-	mihin␣
lm002:013	4	@	-	vertaisin␣
lm002:013	5	@	-	sinua
lm002:013	-	(,)	-	,␣
lm002:013	(6a) 6b	@	-	tytär␣
lm002:013	7	@	-	Jerusalem
lm002:013	-	(?)	-	?␣
lm002:013	8	@	-	Minkä␣
lm002:013	9	@	-	asettaisin␣
lm002:013	10	@	-	rinnallesi␣
lm002:013	(11a)	-	UNTRANSLATED	
lm002:013	11b	@	-	lohduttaakseni␣
lm002:013	pers%11b	@	-	sinua
lm002:013	-	(,)	-	,␣
lm002:013	12	@	-	neitsyt
lm002:013	-	(,)	-	,␣
lm002:013	13	@	-	tytär␣
lm002:013	14	@	-	Siion
lm002:013	-	(?)	-	?␣
lm002:013	15	@	-	Sillä␣
lm002:013	16	@	-	suuri␣
lm002:013	17a	@	-	niinkuin␣
lm002:013	17b	@	-	meri␣
lm002:013	-	(@)	-	on␣
lm002:013	pers%18	@	-	sinun␣
lm002:013	18	@	-	sortumisesi
lm002:013	-	(;)	-	;␣
lm002:013	19	@	-	kuka␣
lm002:013	20	(@)	-	voi␣
lm002:013	21	@	-	sinut␣
lm002:013	20	@	-	parantaa
lm002:013	-	(?)	-	?␣
lm002:014	lm002:014	lm002:014	VERSE	Val␣2:14␣
lm002:014	1	@	-	Profeettasi␣
lm002:014	2	(@)	-	ovat␣
lm002:014	3	@	-	sinulle␣
lm002:014	2	@	-	nähneet␣
lm002:014	4	@	-	petollisia
lm002:014	(5a)	-	UNTRANSLATED	
lm002:014	-	(,)	-	,␣
lm002:014	5b	@	-	äiteliä␣
lm002:014	2	@	-	näkyjä
lm002:014	(6a)	-	UNTRANSLATED	
lm002:014	-	(.)	-	.␣
lm002:014	6b	@	-	Eivät␣
lm002:014	7	(@)	-	he␣
lm002:014	7	(@)	-	ole␣
lm002:014	7	@	-	paljastaneet␣
lm002:014	pers%9	@	-	sinun␣
lm002:014	9	@	-	syntiäsi
lm002:014	8	%case	PTV	
lm002:014	-	(,)	-	,␣
lm002:014	10a	@	-	niin␣
lm002:014	10a	@	-	että␣
lm002:014	10b	(@)	-	olisivat␣
lm002:014	10b	@	-	kääntäneet␣
lm002:014	pers%12	@	-	sinun␣
lm002:014	12	@	-	kohtalosi
lm002:014	-	(,)	-	,␣
lm002:014	13a	@	-	vaan␣
lm002:014	13b	(@)	-	ovat␣
lm002:014	13b	@	-	nähneet␣
lm002:014	14	@	-	sinulle␣
lm002:014	16	@	-	petollisia
lm002:014	(17a)	-	UNTRANSLATED	
lm002:014	-	(,)	-	,␣
lm002:014	17b	@	-	eksyttäväisiä␣
lm002:014	15	@	-	ennustuksia
lm002:014	-	(.)	-	.␣
lm002:015	lm002:015	lm002:015	VERSE	Val␣2:15␣
lm002:015	2	@	-	Sinulle␣
lm002:015	1	@	-	paukuttavat␣
lm002:015	3	@	-	kämmeniänsä␣
lm002:015	4	@	-	kaikki␣
lm002:015	5 6	@	-	ohikulkijat
lm002:015	-	(,)	-	,␣
lm002:015	7	(@)	-	he␣
lm002:015	7	@	-	viheltävät␣
lm002:015	8a	@	-	ja␣
lm002:015	8b	@	-	nyökyttävät␣
lm002:015	8b	(@)	-	ilkkuen␣
lm002:015	9	@	-	päätänsä␣
lm002:015	11	@	-	tytär␣
lm002:015	10	%case	NOM	
lm002:015	12	@	-	Jerusalemille
lm002:015	-	(:)	-	:␣
lm002:015	-	(@)	-	"
lm002:015	13b	@	-	Tämäkö␣
lm002:015	13a	%clitic	kO	
lm002:015	-	(@)	-	on␣
lm002:015	(14a) 14b	@	-	kaupunki
lm002:015	-	(,)	-	,␣
lm002:015	15a	@	-	jota␣
lm002:015	15b	@	-	sanottiin␣
lm002:015	17	@	-	kauneuden␣
lm002:015	16	@	-	täydellisyydeksi
lm002:015	-	(,)	-	,␣
lm002:015	19b	@	-	kaiken␣
lm002:015	19a	%case	GEN	
lm002:015	(20a) 20b	@	-	maan␣
lm002:015	18	@	-	ihastukseksi
lm002:015	-	(?)	-	?
lm002:015	-	(@)	-	"␣
lm002:016	lm002:016	lm002:016	VERSE	Val␣2:16␣
lm002:016	3	@	-	Suu␣
lm002:016	1	@	-	ammollaan␣
lm002:016	pers%2	@	-	sinua␣
lm002:016	2	@	-	vastaan␣
lm002:016	1	@	-	ovat␣
lm002:016	4	@	-	kaikki␣
lm002:016	pers%5	@	-	sinun␣
lm002:016	5	@	-	vihamiehesi
lm002:016	-	(.)	-	.␣
lm002:016	6	(@)	-	He␣
lm002:016	6	@	-	viheltävät
lm002:016	(7a)	-	UNTRANSLATED	
lm002:016	-	(,)	-	,␣
lm002:016	7b	@	-	kiristelevät␣
lm002:016	8	@	-	hampaitaan␣
lm002:016	-	(@)	-	ja␣
lm002:016	9	@	-	sanovat
lm002:016	-	(:)	-	:␣
lm002:016	-	(@)	-	"
lm002:016	10	(@)	-	Me␣
lm002:016	10	(@)	-	olemme␣
lm002:016	-	(@)	-	sen␣
lm002:016	10	@	-	hävittäneet
lm002:016	-	(.)	-	.␣
lm002:016	12	@	-	Tämä␣
lm002:016	-	(@)	-	on␣
lm002:016	11	@	-	juuri␣
lm002:016	-	(@)	-	se␣
lm002:016	(13a) 13b	@	-	päivä
lm002:016	-	(,)	-	,␣
lm002:016	14a	@	-	jota␣
lm002:016	14b	(@)	-	olemme␣
lm002:016	14b	@	-	toivoneet
lm002:016	-	(;)	-	;␣
lm002:016	-	(@)	-	se␣
lm002:016	15	(@)	-	on␣
lm002:016	15	(@)	-	meille␣
lm002:016	15	@	-	tullut
lm002:016	-	(,)	-	,␣
lm002:016	16	(@)	-	olemme␣
lm002:016	-	(@)	-	sen␣
lm002:016	16	@	-	nähneet
lm002:016	-	(.)	-	.
lm002:016	-	(@)	-	"␣
lm002:017	lm002:017	lm002:017	VERSE	Val␣2:17␣
lm002:017	2	@	-	Herra␣
lm002:017	1	(@)	-	on␣
lm002:017	1	@	-	tehnyt
lm002:017	-	(,)	-	,␣
lm002:017	3	@	-	mitä␣
lm002:017	4	(@)	-	oli␣
lm002:017	4	@	-	aikonut
lm002:017	-	(.)	-	.␣
lm002:017	5	(@)	-	Hän␣
lm002:017	5	(@)	-	on␣
lm002:017	5	@	-	täyttänyt␣
lm002:017	6	@	-	sanansa
lm002:017	-	(,)	-	,␣
lm002:017	7	@	-	sen
lm002:017	-	(,)	-	,␣
lm002:017	7	@	-	mitä␣
lm002:017	8	(@)	-	oli␣
lm002:017	8	@	-	päättänyt␣
lm002:017	10	@	-	muinaisista␣
lm002:017	9b	@	-	päivistä␣
lm002:017	9a	@	-	asti
lm002:017	-	(:)	-	:␣
lm002:017	11	(@)	-	hän␣
lm002:017	11	(@)	-	on␣
lm002:017	11	@	-	repinyt␣
lm002:017	11	@	-	alas␣
lm002:017	(12a)	-	UNTRANSLATED	
lm002:017	13	@	-	säälimättä
lm002:017	12b	%case	ABE	
lm002:017	(14a)	-	UNTRANSLATED	
lm002:017	-	(,)	-	,␣
lm002:017	14b	(@)	-	on␣
lm002:017	14b	(@)	-	antanut␣
lm002:017	16	@	-	vihamiesten␣
lm002:017	14b	@	-	iloita␣
lm002:017	15	@	-	sinusta␣
lm002:017	-	(@)	-	ja␣
lm002:017	17	@	-	kohottanut␣
lm002:017	pers%19	@	-	sinun␣
lm002:017	19	@	-	vihollistesi␣
lm002:017	18	@	-	sarven
lm002:017	-	(.)	-	.␣
lm002:018	lm002:018	lm002:018	VERSE	Val␣2:18␣
lm002:018	pers%2	@	-	Heidän␣
lm002:018	2	@	-	sydämensä␣
lm002:018	1	@	-	huutaa␣
lm002:018	4	@	-	Herran␣
lm002:018	3	@	-	puoleen
lm002:018	-	(.)	-	.␣
lm002:018	-	(@)	-	Sinä
lm002:018	-	(,)	-	,␣
lm002:018	6	@	-	tytär␣
lm002:018	7	@	-	Siionin␣
lm002:018	5	@	-	muuri
lm002:018	-	(,)	-	,␣
lm002:018	8	(@)	-	anna␣
lm002:018	10	@	-	kyyneltesi␣
lm002:018	9b	@	-	virtana␣
lm002:018	9a	%case	ESS	
lm002:018	8	@	-	vuotaa␣
lm002:018	12b	@	-	yötä␣
lm002:018	12a	%inflection	SG.PTV	
lm002:018	11	@	-	päivää
lm002:018	-	(!)	-	!␣
lm002:018	13	@	-	Älä␣
lm002:018	14	@	-	suo␣
lm002:018	16	@	-	itsellesi␣
lm002:018	15	@	-	lepoa
lm002:018	-	(,)	-	,␣
lm002:018	17	@	-	älköön␣
lm002:018	19 20	@	-	silmäteräsi␣
lm002:018	18	@	-	ummistuko
lm002:018	-	(.)	-	.␣
lm002:019	lm002:019	lm002:019	VERSE	Val␣2:19␣
lm002:019	1	@	-	Nouse
lm002:019	-	(,)	-	,␣
lm002:019	2	@	-	kohota␣
lm002:019	2	@	-	valitushuuto␣
lm002:019	4b	@	-	yöllä
lm002:019	4a	%case	LOC	
lm002:019	-	(,)	-	,␣
lm002:019	5a	@	-	kun␣
lm002:019	5b	@	-	alkavat␣
lm002:019	6	@	-	yövartiot
lm002:019	-	(.)	-	.␣
lm002:019	mod%7	@	-	Anna␣
lm002:019	9	@	-	sydämesi␣
lm002:019	7	@	-	vuotaa␣
lm002:019	8a	@	-	kuin␣
lm002:019	8b	@	-	vesi␣
lm002:019	12	@	-	Herran␣
lm002:019	11	@	-	kasvojen␣
lm002:019	10	@	-	edessä
lm002:019	-	(.)	-	.␣
lm002:019	13	@	-	Kohota␣
lm002:019	15	@	-	kätesi␣
lm002:019	pers%14	@	-	häntä␣
lm002:019	14	@	-	kohden␣
lm002:019	18	@	-	pienten␣
lm002:019	18	@	-	lastesi␣
lm002:019	17	@	-	elämän␣
lm002:019	16	@	-	puolesta
lm002:019	-	(,)	-	,␣
lm002:019	-	(@)	-	kun␣
lm002:019	-	(@)	-	ne␣
lm002:019	(19a) 19b	@	-	nääntyvät␣
lm002:019	20b	@	-	nälkään␣
lm002:019	20a	%case	LOC	
lm002:019	22	@	-	kaikkien␣
lm002:019	23	@	-	katujen␣
lm002:019	21b	@	-	kulmissa
lm002:019	21a	%case	LOC	
lm002:019	-	(.)	-	.␣
lm002:020	lm002:020	lm002:020	VERSE	Val␣2:20␣
lm002:020	1	@	-	Katso
lm002:020	-	(,)	-	,␣
lm002:020	2	@	-	Herra
lm002:020	-	(,)	-	,␣
lm002:020	3a	@	-	ja␣
lm002:020	3b	@	-	tarkkaa
lm002:020	-	(,)	-	,␣
lm002:020	4b	@	-	ketä␣
lm002:020	4a	%case	PTV	
lm002:020	5	(@)	-	olet␣
lm002:020	5	(@)	-	antanut␣
lm002:020	6	@	-	tämän␣
lm002:020	5	@	-	kohdata
lm002:020	-	(:)	-	:␣
lm002:020	8	(@)	-	pitäisikö␣
lm002:020	7	%clitic	kO	
lm002:020	9	@	-	vaimojen␣
lm002:020	8	@	-	syödä␣
lm002:020	pers%10	@	-	oma␣
lm002:020	10	@	-	hedelmänsä
lm002:020	-	(,)	-	,␣
lm002:020	12	@	-	vaalimansa␣
lm002:020	11	@	-	pienet␣
lm002:020	11	@	-	lapset
lm002:020	-	(;)	-	;␣
lm002:020	14	(@)	-	pitäisikö␣
lm002:020	16	@	-	Herran␣
lm002:020	15b	@	-	pyhäkössä␣
lm002:020	15a	%case	LOC	
lm002:020	14	@	-	tapettaman␣
