pr001:001	pr001:001	pr001:001	VERSE	Snl␣1:1␣
pr009:001	pr009:001	pr009:001	VERSE	Snl␣9:1␣
pr009:001	1	@	-	Viisaus␣
pr009:001	2	(@)	-	on␣
pr009:001	3	@	-	talonsa␣
pr009:001	2	@	-	rakentanut
pr009:001	-	(,)	-	,␣
pr009:001	4	@	-	veistänyt␣
pr009:001	6	@	-	seitsemän␣
pr009:001	5	@	-	pylvästänsä
pr009:001	-	(.)	-	.␣
pr009:002	pr009:002	pr009:002	VERSE	Snl␣9:2␣
pr009:002	1	(@)	-	Hän␣
pr009:002	1	(@)	-	on␣
pr009:002	2	@	-	teuraansa␣
pr009:002	1	@	-	teurastanut
pr009:002	-	(,)	-	,␣
pr009:002	4	@	-	viininsä␣
pr009:002	3	@	-	sekoittanut␣
pr009:002	-	(@)	-	ja␣
pr009:002	5	@	-	myöskin␣
pr009:002	7	@	-	pöytänsä␣
pr009:002	6	@	-	kattanut
pr009:002	-	(.)	-	.␣
pr009:003	pr009:003	pr009:003	VERSE	Snl␣9:3␣
pr009:003	1	(@)	-	Hän␣
pr009:003	1	(@)	-	on␣
pr009:003	2	@	-	palvelijattarensa␣
pr009:003	1	@	-	lähettänyt␣
pr009:003	3	@	-	kutsua␣
pr009:003	3	@	-	kuuluttamaan␣
pr009:003	7	@	-	kaupungin␣
pr009:003	6	@	-	kumpujen␣
pr009:003	5	@	-	rinteiltä
pr009:003	4	%case	LOC	
pr009:003	-	(:)	-	:␣
pr009:004	pr009:004	pr009:004	VERSE	Snl␣9:4␣
pr009:004	-	(@)	-	"
pr009:004	1	@	-	Joka␣
pr009:004	2	@	-	yksinkertainen␣
pr009:004	-	(@)	-	on
pr009:004	-	(,)	-	,␣
pr009:004	3	@	-	poiketkoon␣
pr009:004	4	@	-	tänne
pr009:004	-	(@)	-	"
pr009:004	-	(.)	-	.␣
pr009:004	8	@	-	Sille
pr009:004	-	(,)	-	,␣
pr009:004	-	(@)	-	joka␣
pr009:004	-	(@)	-	on␣
pr009:004	6	@	-	mieltä␣
pr009:004	5	@	-	vailla
pr009:004	-	(,)	-	,␣
pr009:004	7	(@)	-	hän␣
pr009:004	7	@	-	sanoo
pr009:004	-	(:)	-	:␣
pr009:005	pr009:005	pr009:005	VERSE	Snl␣9:5␣
pr009:005	-	(@)	-	"
pr009:005	1	@	-	Tulkaa
pr009:005	-	(,)	-	,␣
pr009:005	2	@	-	syökää␣
pr009:005	pers%3b	@	-	minun␣
pr009:005	3b	@	-	leipääni␣
pr009:005	3a	%case	PTV	
pr009:005	4a	@	-	ja␣
pr009:005	4b	@	-	juokaa␣
pr009:005	5b	@	-	viiniä
pr009:005	5a	%case	PTV	
pr009:005	-	(,)	-	,␣
pr009:005	6	(@)	-	minun␣
pr009:005	6	@	-	sekoittamaani
pr009:005	-	(.)	-	.␣
pr009:006	pr009:006	pr009:006	VERSE	Snl␣9:6␣
pr009:006	1	@	-	Hyljätkää␣
pr009:006	2	@	-	yksinkertaisuus
pr009:006	-	(,)	-	,␣
pr009:006	3a	@	-	niin␣
pr009:006	3b	(@)	-	saatte␣
pr009:006	3b	@	-	elää
pr009:006	-	(,)	-	,␣
pr009:006	4a	@	-	ja␣
pr009:006	4b	@	-	astukaa␣
pr009:006	6	@	-	ymmärryksen␣
pr009:006	5b	@	-	tielle
pr009:006	5a	%case	LOC	
pr009:006	-	(.)	-	.
pr009:006	-	(@)	-	"␣
pr009:006	-	(-)	-	-␣
pr009:007	pr009:007	pr009:007	VERSE	Snl␣9:7␣
pr009:007	-	(@)	-	Joka␣
pr009:007	2	@	-	pilkkaajaa␣
pr009:007	1	@	-	ojentaa
pr009:007	-	(,)	-	,␣
pr009:007	3	@	-	saa␣
pr009:007	4	@	-	itsellensä␣
pr009:007	5	@	-	häpeän
pr009:007	-	(,)	-	,␣
pr009:007	6a	@	-	ja␣
pr009:007	8	@	-	häpeäpilkun␣
pr009:007	-	(@)	-	se
pr009:007	-	(,)	-	,␣
pr009:007	-	(@)	-	joka␣
pr009:007	7b	@	-	jumalatonta␣
pr009:007	7a	%case	PTV	
pr009:007	6b	@	-	nuhtelee
pr009:007	-	(.)	-	.␣
pr009:008	pr009:008	pr009:008	VERSE	Snl␣9:8␣
pr009:008	1	@	-	Älä␣
pr009:008	2	@	-	nuhtele␣
pr009:008	3	@	-	pilkkaajaa
pr009:008	-	(,)	-	,␣
pr009:008	4	@	-	ettei␣
pr009:008	5	(@)	-	hän␣
pr009:008	pers%5	@	-	sinua␣
pr009:008	5	@	-	vihaisi
pr009:008	-	(;)	-	;␣
pr009:008	6	@	-	nuhtele␣
pr009:008	7b	@	-	viisasta
pr009:008	7a	%case	PTV	
pr009:008	-	(,)	-	,␣
pr009:008	8a	@	-	niin␣
pr009:008	8b	(@)	-	hän␣
pr009:008	pers%8b	@	-	sinua␣
pr009:008	8b	@	-	rakastaa
pr009:008	-	(.)	-	.␣
pr009:009	pr009:009	pr009:009	VERSE	Snl␣9:9␣
pr009:009	1	@	-	Anna␣
pr009:009	2b	@	-	viisaalle
pr009:009	2a	%case	LOC	
pr009:009	-	(,)	-	,␣
pr009:009	3a	@	-	niin␣
pr009:009	3b	(@)	-	hän␣
pr009:009	4	@	-	yhä␣
pr009:009	3b	@	-	viisastuu
pr009:009	-	(;)	-	;␣
pr009:009	5	@	-	opeta␣
pr009:009	6b	@	-	vanhurskasta
pr009:009	6a	%case	PTV	
pr009:009	-	(,)	-	,␣
pr009:009	7a	@	-	niin␣
pr009:009	7b	(@)	-	hän␣
pr009:009	7b	(@)	-	saa␣
pr009:009	8	@	-	oppia␣
pr009:009	7b	@	-	lisää
pr009:009	-	(.)	-	.␣
pr009:010	pr009:010	pr009:010	VERSE	Snl␣9:10␣
pr009:010	4	@	-	Herran␣
pr009:010	3	@	-	pelko␣
pr009:010	-	(@)	-	on␣
pr009:010	2	@	-	viisauden␣
pr009:010	1	@	-	alku
pr009:010	-	(,)	-	,␣
pr009:010	5a	@	-	ja␣
pr009:010	6	@	-	Pyhimmän␣
pr009:010	5b	@	-	tunteminen␣
pr009:010	-	(@)	-	on␣
pr009:010	7	@	-	ymmärrystä
pr009:010	-	(.)	-	.␣
pr009:010	-	(-)	-	-␣
pr009:011	pr009:011	pr009:011	VERSE	Snl␣9:11␣
pr009:011	-	(@)	-	"
pr009:011	1	@	-	Sillä␣
pr009:011	pers%2	@	-	minun␣
pr009:011	2	@	-	avullani␣
pr009:011	4	@	-	päiväsi␣
pr009:011	3	@	-	enenevät␣
pr009:011	5a	@	-	ja␣
pr009:011	5b	@	-	jatkuvat␣
pr009:011	8	@	-	elämäsi␣
pr009:011	6	%inflection	DER.NOM&SGGEN.-2	
pr009:011	7	@	-	vuodet
pr009:011	-	(.)	-	.␣
pr009:012	pr009:012	pr009:012	VERSE	Snl␣9:12␣
pr009:012	1	@	-	Jos␣
pr009:012	2	@	-	olet␣
pr009:012	2	@	-	viisas
pr009:012	-	(,)	-	,␣
pr009:012	3	@	-	olet␣
pr009:012	pers%4	@	-	omaksi␣
pr009:012	4	@	-	hyväksesi␣
pr009:012	3	@	-	viisas
pr009:012	-	(;)	-	;␣
pr009:012	5a	@	-	ja␣
pr009:012	-	(@)	-	jos␣
pr009:012	5b	@	-	olet␣
pr009:012	5b	@	-	pilkkaaja
pr009:012	-	(,)	-	,␣
pr009:012	7	(@)	-	saat␣
pr009:012	pers%6b	@	-	sinä␣
pr009:012	-	(@)	-	sen␣
pr009:012	6a 6b	@	-	yksin␣
pr009:012	7	@	-	kestää
pr009:012	-	(.)	-	.
pr009:012	-	(@)	-	"␣
pr009:013	pr009:013	pr009:013	VERSE	Snl␣9:13␣
pr009:013	2	@	-	Tyhmyys␣
pr009:013	-	(@)	-	on␣
pr009:013	1	@	-	nainen
pr009:013	-	(,)	-	,␣
pr009:013	3	@	-	levoton␣
pr009:013	-	(@)	-	ja␣
pr009:013	4	@	-	yksinkertainen
pr009:013	-	(,)	-	,␣
pr009:013	5b	@	-	eikä␣
pr009:013	5a	%clitic	kA	
pr009:013	6	(@)	-	hän␣
pr009:013	-	(@)	-	mistään␣
pr009:013	7	@	-	mitään␣
pr009:013	6	@	-	tiedä
pr009:013	-	(.)	-	.␣
pr009:014	pr009:014	pr009:014	VERSE	Snl␣9:14␣
pr009:014	(1a)	-	UNTRANSLATED	
pr009:014	1b	(@)	-	Hän␣
pr009:014	1b	@	-	istuu␣
pr009:014	3	@	-	talonsa␣
pr009:014	2b	@	-	ovella
pr009:014	2a	%case	LOC	
pr009:014	-	(,)	-	,␣
pr009:014	5	@	-	istuimella␣
pr009:014	4	%case	LOC	
pr009:014	7	@	-	kaupungin␣
pr009:014	6	@	-	kummuilla
pr009:014	-	(,)	-	,␣
pr009:015	pr009:015	pr009:015	VERSE	Snl␣9:15␣
pr009:015	1b	@	-	kutsumassa␣
pr009:015	1a	%case	LOC	
pr009:015	2b	@	-	ohikulkijoita
pr009:015	2a	%case	PTV	
pr009:015	-	(,)	-	,␣
pr009:015	-	(@)	-	jotka␣
pr009:015	3	@	-	käyvät␣
pr009:015	5	@	-	polkujansa␣
pr009:015	(4a) 4b	@	-	suoraan␣
pr009:015	(4a) 4b	@	-	eteenpäin
pr009:015	-	(:)	-	:␣
pr009:016	pr009:016	pr009:016	VERSE	Snl␣9:16␣
pr009:016	-	(@)	-	"
pr009:016	1	@	-	Joka␣
pr009:016	2	@	-	yksinkertainen␣
pr009:016	-	(@)	-	on
pr009:016	-	(,)	-	,␣
pr009:016	3	@	-	poiketkoon␣
pr009:016	4	@	-	tänne
pr009:016	-	(@)	-	"
pr009:016	-	(.)	-	.␣
pr009:016	5a	@	-	Ja␣
pr009:016	8	@	-	sille
pr009:016	-	(,)	-	,␣
pr009:016	-	(@)	-	joka␣
pr009:016	-	(@)	-	on␣
pr009:016	6	@	-	mieltä␣
pr009:016	5b	@	-	vailla
pr009:016	(7a)	-	UNTRANSLATED	
pr009:016	-	(,)	-	,␣
pr009:016	7b	(@)	-	hän␣
pr009:016	7b	@	-	sanoo
pr009:016	-	(:)	-	:␣
pr009:017	pr009:017	pr009:017	VERSE	Snl␣9:17␣
pr009:017	-	(@)	-	"
pr009:017	2	@	-	Varastettu␣
pr009:017	1	@	-	vesi␣
pr009:017	3	@	-	on␣
pr009:017	3	@	-	makeata
pr009:017	-	(,)	-	,␣
pr009:017	4a	@	-	ja␣
pr009:017	5	@	-	salattu␣
pr009:017	4b	@	-	leipä␣
pr009:017	6	@	-	on␣
pr009:017	6	@	-	suloista
pr009:017	-	(@)	-	"
pr009:017	-	(.)	-	.␣
pr009:018	pr009:018	pr009:018	VERSE	Snl␣9:18␣
pr009:018	1b	@	-	Eikä␣
pr009:018	1a	%clitic	kA	
pr009:018	-	(@)	-	toinen␣
pr009:018	2	@	-	tiedä
pr009:018	-	(,)	-	,␣
pr009:018	3	@	-	että␣
pr009:018	4	@	-	haamuja␣
pr009:018	-	(@)	-	on␣
pr009:018	5	@	-	siellä
pr009:018	-	(,)	-	,␣
pr009:018	-	(@)	-	että␣
pr009:018	pers%8	@	-	hänen␣
pr009:018	8	@	-	kutsuvieraansa␣
pr009:018	-	(@)	-	ovat␣
pr009:018	7	@	-	tuonelan␣
pr009:018	6b	@	-	laaksoissa
pr009:018	6a	%case	LOC	
pr009:018	-	(.)	-	.␣
pr010:001	pr010:001	pr010:001	VERSE	Snl␣10:1␣
pr010:001	2	@	-	Salomon␣
pr010:001	1	@	-	sananlaskut
pr010:001	-	(.)	-	.␣
pr010:001	5	@	-	Viisas␣
pr010:001	4	@	-	poika␣
pr010:001	6	@	-	on␣
pr010:001	7	@	-	isällensä␣
pr010:001	6	@	-	iloksi
pr010:001	-	(,)	-	,␣
pr010:001	8a	@	-	mutta␣
pr010:001	9	@	-	tyhmä␣
pr010:001	8b	@	-	poika␣
pr010:001	-	(@)	-	on␣
pr010:001	11	@	-	äidillensä␣
pr010:001	10	@	-	murheeksi
pr010:001	-	(.)	-	.␣
pr010:002	pr010:002	pr010:002	VERSE	Snl␣10:2␣
pr010:002	4	@	-	Vääryyden␣
pr010:002	3	@	-	aarteet␣
pr010:002	1	@	-	eivät␣
pr010:002	2	@	-	auta
pr010:002	-	(,)	-	,␣
pr010:002	5a	@	-	mutta␣
pr010:002	5b	@	-	vanhurskaus␣
pr010:002	6	@	-	vapahtaa␣
pr010:002	7b	@	-	kuolemasta
pr010:002	7a	%case	LOC	
pr010:002	-	(.)	-	.␣
pr010:003	pr010:003	pr010:003	VERSE	Snl␣10:3␣
pr010:003	3	@	-	Herra␣
pr010:003	1	@	-	ei␣
pr010:003	2	(@)	-	salli␣
pr010:003	5	@	-	vanhurskaan␣
pr010:003	4	%case	GEN	
pr010:003	2	@	-	nälkää␣
pr010:003	2	@	-	nähdä
pr010:003	-	(,)	-	,␣
pr010:003	6a	@	-	mutta␣
pr010:003	7	@	-	jumalattomien␣
pr010:003	6b	@	-	himon␣
pr010:003	8	(@)	-	hän␣
pr010:003	8	@	-	luotansa␣
pr010:003	8	@	-	työntää
pr010:003	-	(.)	-	.␣
pr010:004	pr010:004	pr010:004	VERSE	Snl␣10:4␣
pr010:004	1	@	-	Köyhtyy
pr010:004	-	(,)	-	,␣
pr010:004	-	(@)	-	joka␣
pr010:004	4	@	-	laiskasti␣
pr010:004	3	@	-	kättä␣
pr010:004	2	@	-	käyttää
pr010:004	-	(,)	-	,␣
pr010:004	5a	@	-	mutta␣
pr010:004	6	@	-	ahkerain␣
pr010:004	5b	@	-	käsi␣
pr010:004	7	@	-	rikastuttaa
pr010:004	-	(.)	-	.␣
pr010:005	pr010:005	pr010:005	VERSE	Snl␣10:5␣
pr010:005	4	@	-	Taitava␣
pr010:005	3	@	-	poika␣
pr010:005	1	@	-	kokoaa␣
pr010:005	2b	@	-	kesällä
pr010:005	2a	%case	LOC	
pr010:005	-	(,)	-	,␣
pr010:005	8	@	-	kunnoton␣
pr010:005	7	@	-	poika␣
pr010:005	6b	@	-	elonaikana␣
pr010:005	6a	%case	ESS	
pr010:005	5	@	-	nukkuu
pr010:005	-	(.)	-	.␣
pr010:006	pr010:006	pr010:006	VERSE	Snl␣10:6␣
pr010:006	1	@	-	Siunaus␣
pr010:006	-	(@)	-	on␣
pr010:006	3	@	-	vanhurskaan␣
pr010:006	2b	@	-	pään␣
pr010:006	2a	@	-	päällä
pr010:006	-	(,)	-	,␣
pr010:006	4a	@	-	mutta␣
pr010:006	7	@	-	väkivaltaa␣
pr010:006	6	@	-	kätkee␣
pr010:006	5	@	-	jumalattomien␣
pr010:006	4b	@	-	suu
pr010:006	-	(.)	-	.␣
pr010:007	pr010:007	pr010:007	VERSE	Snl␣10:7␣
pr010:007	2	@	-	Vanhurskaan␣
pr010:007	1	@	-	muistoa␣
pr010:007	3b	@	-	siunataan
pr010:007	3a	%case	?	
pr010:007	-	(,)	-	,␣
pr010:007	4a	@	-	mutta␣
pr010:007	5	@	-	jumalattomien␣
pr010:007	4b	@	-	nimi␣
pr010:007	6	@	-	lahoaa
pr010:007	-	(.)	-	.␣
pr010:008	pr010:008	pr010:008	VERSE	Snl␣10:8␣
pr010:008	1 2	@	-	Viisassydäminen␣
pr010:008	3	@	-	ottaa␣
pr010:008	4	@	-	käskyt␣
pr010:008	3	(@)	-	varteen
pr010:008	-	(,)	-	,␣
pr010:008	5a	@	-	mutta␣
pr010:008	5b 6	@	-	hulluhuulinen␣
pr010:008	7	@	-	kukistuu
pr010:008	-	(.)	-	.␣
pr010:009	pr010:009	pr010:009	VERSE	Snl␣10:9␣
pr010:009	-	(@)	-	Joka␣
pr010:009	2b	@	-	nuhteettomasti␣
pr010:009	2a	%case	MAN	
pr010:009	1	@	-	vaeltaa
pr010:009	-	(,)	-	,␣
pr010:009	3	@	-	vaeltaa␣
pr010:009	4	@	-	turvassa
pr010:009	(5a)	-	UNTRANSLATED	
pr010:009	-	(,)	-	,␣
pr010:009	pers%6	@	-	jonka␣
pr010:009	6	@	-	tiet␣
pr010:009	5b	(@)	-	ovat␣
pr010:009	5b	@	-	väärät
pr010:009	-	(,)	-	,␣
pr010:009	7	(@)	-	se␣
pr010:009	7	@	-	joutuu␣
pr010:009	7	@	-	ilmi
pr010:009	-	(.)	-	.␣
pr010:010	pr010:010	pr010:010	VERSE	Snl␣10:10␣
pr010:010	-	(@)	-	Joka␣
pr010:010	2	@	-	silmää␣
pr010:010	1	@	-	iskee
pr010:010	-	(,)	-	,␣
pr010:010	3	@	-	saa␣
pr010:010	3	@	-	aikaan␣
pr010:010	4	@	-	tuskaa
pr010:010	-	(,)	-	,␣
pr010:010	5a	@	-	ja␣
pr010:010	5b 6	@	-	hulluhuulinen␣
pr010:010	7	@	-	kukistuu
pr010:010	-	(.)	-	.␣
pr010:011	pr010:011	pr010:011	VERSE	Snl␣10:11␣
pr010:011	4	@	-	Vanhurskaan␣
pr010:011	3	@	-	suu␣
pr010:011	-	(@)	-	on␣
pr010:011	2	@	-	elämän␣
pr010:011	1	@	-	lähde
pr010:011	-	(,)	-	,␣
pr010:011	5a	@	-	mutta␣
pr010:011	6	@	-	jumalattomien␣
pr010:011	5b	@	-	suu␣
pr010:011	7	@	-	kätkee␣
pr010:011	8	@	-	väkivaltaa
pr010:011	-	(.)	-	.␣
pr010:012	pr010:012	pr010:012	VERSE	Snl␣10:12␣
pr010:012	1	@	-	Viha␣
pr010:012	2	@	-	virittää␣
pr010:012	3	@	-	riitoja
pr010:012	-	(,)	-	,␣
pr010:012	4a	@	-	mutta␣
pr010:012	8	@	-	rakkaus␣
pr010:012	7	@	-	peittää␣
pr010:012	6	@	-	rikkomukset␣
pr010:012	5	@	-	kaikki
pr010:012	4b	%case	NOM	
pr010:012	-	(.)	-	.␣
pr010:013	pr010:013	pr010:013	VERSE	Snl␣10:13␣
pr010:013	2	@	-	Ymmärtäväisen␣
pr010:013	1b	@	-	huulilta␣
pr010:013	1a	%case	LOC	
pr010:013	3	@	-	löytyy␣
pr010:013	4	@	-	viisaus
pr010:013	-	(,)	-	,␣
pr010:013	5a	@	-	mutta␣
pr010:013	-	(@)	-	joka␣
pr010:013	-	(@)	-	on␣
pr010:013	8	@	-	mieltä␣
pr010:013	7	@	-	vailla
pr010:013	-	(,)	-	,␣
pr010:013	-	(@)	-	sille␣
pr010:013	5b	@	-	vitsa␣
pr010:013	6b	@	-	selkään
pr010:013	6a	%case	LOC	
pr010:013	-	(!)	-	!␣
pr010:014	pr010:014	pr010:014	VERSE	Snl␣10:14␣
pr010:014	1	@	-	Viisaat␣
pr010:014	2	@	-	kätkevät
pr010:014	-	(,)	-	,␣
pr010:014	-	(@)	-	minkä␣
pr010:014	3	@	-	tietävät
pr010:014	-	(,)	-	,␣
pr010:014	4a	@	-	mutta␣
pr010:014	5	@	-	hullun␣
pr010:014	4b	@	-	suu␣
pr010:014	-	(@)	-	on␣
pr010:014	7	@	-	läheinen␣
pr010:014	6	@	-	turmio
pr010:014	-	(.)	-	.␣
pr010:015	pr010:015	pr010:015	VERSE	Snl␣10:15␣
pr010:015	2	@	-	Rikkaan␣
pr010:015	1	@	-	tavara␣
pr010:015	-	(@)	-	on␣
pr010:015	pers%4	@	-	hänen␣
pr010:015	4	@	-	vahva␣
pr010:015	3	@	-	kaupunkinsa
pr010:015	-	(,)	-	,␣
pr010:015	-	(@)	-	mutta␣
pr010:015	6	@	-	vaivaisten␣
pr010:015	7	@	-	köyhyys␣
pr010:015	-	(@)	-	on␣
pr010:015	pers%7	@	-	heidän␣
pr010:015	5	@	-	turmionsa
pr010:015	-	(.)	-	.␣
pr010:016	pr010:016	pr010:016	VERSE	Snl␣10:16␣
pr010:016	2	@	-	Vanhurskaan␣
pr010:016	1	@	-	hankkima␣
pr010:016	-	(@)	-	on␣
pr010:016	3b	@	-	elämäksi
pr010:016	3a	%case	TRA	
pr010:016	-	(,)	-	,␣
pr010:016	5	@	-	jumalattoman␣
pr010:016	4	@	-	saalis␣
pr010:016	-	(@)	-	koituu␣
pr010:016	6b	@	-	synniksi
pr010:016	6a	%case	TRA	
pr010:016	-	(.)	-	.␣
pr010:017	pr010:017	pr010:017	VERSE	Snl␣10:17␣
pr010:017	4	@	-	Kuritusta␣
pr010:017	3	@	-	noudattava␣
pr010:017	-	(@)	-	on␣
pr010:017	2b	@	-	elämän␣
pr010:017	2a	%case	GEN	
pr010:017	1	@	-	tiellä
pr010:017	-	(,)	-	,␣
pr010:017	5a	@	-	mutta␣
pr010:017	6	@	-	nuhteet␣
pr010:017	5b	@	-	hylkäävä␣
pr010:017	7	@	-	eksyy
pr010:017	-	(.)	-	.␣
pr010:018	pr010:018	pr010:018	VERSE	Snl␣10:18␣
pr010:018	-	(@)	-	Joka␣
pr010:018	1 2	@	-	salavihaa␣
pr010:018	1 2	@	-	pitää
pr010:018	-	(,)	-	,␣
pr010:018	-	(@)	-	sen␣
pr010:018	3	@	-	huulilla␣
pr010:018	-	(@)	-	on␣
pr010:018	4	@	-	valhe
pr010:018	-	(,)	-	,␣
pr010:018	5a	@	-	ja␣
pr010:018	-	(@)	-	joka␣
pr010:018	6	@	-	parjausta␣
pr010:018	5b	@	-	levittää
pr010:018	-	(,)	-	,␣
pr010:018	7	@	-	on␣
pr010:018	8	@	-	tyhmä
pr010:018	-	(.)	-	.␣
pr010:019	pr010:019	pr010:019	VERSE	Snl␣10:19␣
pr010:019	-	(@)	-	Missä␣
pr010:019	-	(@)	-	on␣
pr010:019	1b	@	-	paljon␣
pr010:019	1a	%case	?	
pr010:019	2	@	-	sanoja
pr010:019	-	(,)	-	,␣
pr010:019	-	(@)	-	siinä␣
pr010:019	3	@	-	ei␣
pr010:019	5	@	-	syntiä␣
pr010:019	4	@	-	puutu
pr010:019	-	(;)	-	;␣
pr010:019	6a	@	-	mutta␣
pr010:019	-	(@)	-	joka␣
pr010:019	7	@	-	huulensa␣
pr010:019	6b	@	-	hillitsee
pr010:019	-	(,)	-	,␣
pr010:019	-	(@)	-	se␣
pr010:019	-	(@)	-	on␣
pr010:019	8	@	-	taitava
pr010:019	-	(.)	-	.␣
pr010:020	pr010:020	pr010:020	VERSE	Snl␣10:20␣
pr010:020	4	@	-	Vanhurskaan␣
pr010:020	3	@	-	kieli␣
pr010:020	-	(@)	-	on␣
pr010:020	2	@	-	valituin␣
pr010:020	1	@	-	hopea
pr010:020	-	(,)	-	,␣
pr010:020	6	@	-	jumalattomien␣
pr010:020	5	@	-	äly␣
pr010:020	-	(@)	-	on␣
pr010:020	7b	@	-	tyhjän␣
pr010:020	7a	@	-	veroinen
pr010:020	-	(.)	-	.␣
pr010:021	pr010:021	pr010:021	VERSE	Snl␣10:21␣
pr010:021	2	@	-	Vanhurskaan␣
pr010:021	1	@	-	huulet␣
pr010:021	3	@	-	kaitsevat␣
pr010:021	4	@	-	monia
pr010:021	-	(,)	-	,␣
pr010:021	5a	@	-	mutta␣
pr010:021	5b	@	-	hullut␣
pr010:021	8	@	-	kuolevat␣
pr010:021	6b 7	@	-	mielettömyyteensä
pr010:021	6a	%case	LOC	
pr010:021	-	(.)	-	.␣
pr010:022	pr010:022	pr010:022	VERSE	Snl␣10:22␣
pr010:022	2	@	-	Herran␣
pr010:022	1	@	-	siunaus␣
pr010:022	(3)	-	UNTRANSLATED	
pr010:022	4	@	-	rikkaaksi␣
pr010:022	4	@	-	tekee
pr010:022	(5a)	-	UNTRANSLATED	
pr010:022	-	(,)	-	,␣
pr010:022	5b	@	-	ei␣
pr010:022	8	@	-	oma␣
pr010:022	7	@	-	vaiva␣
pr010:022	-	(@)	-	siihen␣
pr010:022	-	(@)	-	mitään␣
pr010:022	6	@	-	lisää
pr010:022	-	(.)	-	.␣
pr010:023	pr010:023	pr010:023	VERSE	Snl␣10:23␣
pr010:023	2b	@	-	Tyhmälle␣
pr010:023	2a	%case	LOC	
pr010:023	-	(@)	-	on␣
pr010:023	1b	@	-	iloksi␣
pr010:023	1a	%case	TRA	
pr010:023	4	@	-	ilkityön␣
pr010:023	3	@	-	teko
pr010:023	-	(,)	-	,␣
pr010:023	5a	@	-	mutta␣
pr010:023	7	@	-	ymmärtäväiselle␣
pr010:023	6b	@	-	miehelle␣
pr010:023	6a	%case	LOC	
pr010:023	5b	@	-	viisaus
pr010:023	-	(.)	-	.␣
pr010:024	pr010:024	pr010:024	VERSE	Snl␣10:24␣
pr010:024	-	(@)	-	Mitä␣
pr010:024	2	@	-	jumalaton␣
pr010:024	1	@	-	pelkää
pr010:024	-	(,)	-	,␣
pr010:024	3	@	-	se␣
pr010:024	pers%4	@	-	häntä␣
pr010:024	4	@	-	kohtaa
pr010:024	-	(;)	-	;␣
pr010:024	5a	@	-	mutta␣
pr010:024	-	(@)	-	mitä␣
pr010:024	6	@	-	vanhurskaat␣
pr010:024	5b	@	-	halajavat
pr010:024	-	(,)	-	,␣
pr010:024	7	(@)	-	se␣
pr010:024	7	@	-	annetaan
pr010:024	-	(.)	-	.␣
pr010:025	pr010:025	pr010:025	VERSE	Snl␣10:25␣
pr010:025	2	@	-	Tuulispään␣
pr010:025	1b	@	-	käytyä␣
pr010:025	1a	%case	PTV	
pr010:025	(3a)	-	UNTRANSLATED	
pr010:025	3b	@	-	ei␣
pr010:025	4	@	-	jumalatonta␣
pr010:025	-	(@)	-	enää␣
pr010:025	3b	@	-	ole
pr010:025	-	(,)	-	,␣
pr010:025	5a	@	-	mutta␣
pr010:025	5b	@	-	vanhurskaan␣
pr010:025	6	@	-	perustus␣
pr010:025	-	(@)	-	pysyy␣
pr010:025	7	@	-	iäti
pr010:025	-	(.)	-	.␣
pr010:026	pr010:026	pr010:026	VERSE	Snl␣10:26␣
pr010:026	1a	@	-	Mitä␣
pr010:026	1b	@	-	hapan␣
pr010:026	2b	@	-	hampaille␣
pr010:026	2a	%case	LOC	
pr010:026	3a	@	-	ja␣
pr010:026	3c	@	-	savu␣
pr010:026	3b	%case	NOM	
pr010:026	4b	@	-	silmille
pr010:026	4a	%case	LOC	
pr010:026	-	(,)	-	,␣
pr010:026	5	@	-	sitä␣
pr010:026	(6a) 6b	@	-	laiska␣
pr010:026	7b	@	-	lähettäjillensä
pr010:026	7a	%case	LOC	
pr010:026	-	(.)	-	.␣
pr010:027	pr010:027	pr010:027	VERSE	Snl␣10:27␣
pr010:027	2	@	-	Herran␣
pr010:027	1	@	-	pelko␣
pr010:027	4	@	-	elinpäiviä␣
pr010:027	3	@	-	jatkaa
pr010:027	-	(,)	-	,␣
pr010:027	5a	@	-	mutta␣
pr010:027	6	@	-	jumalattomien␣
pr010:027	5b	@	-	vuodet␣
pr010:027	7	@	-	lyhenevät
pr010:027	-	(.)	-	.␣
pr010:028	pr010:028	pr010:028	VERSE	Snl␣10:28␣
pr010:028	2	@	-	Vanhurskasten␣
pr010:028	1	@	-	odotus␣
pr010:028	-	(@)	-	koituu␣
pr010:028	3	@	-	iloksi
pr010:028	-	(,)	-	,␣
pr010:028	4a	@	-	mutta␣
pr010:028	5	@	-	jumalattomien␣
pr010:028	4b	@	-	toivo␣
pr010:028	6	@	-	hukkuu
pr010:028	-	(.)	-	.␣
pr010:029	pr010:029	pr010:029	VERSE	Snl␣10:29␣
pr010:029	4	@	-	Herran␣
pr010:029	3	@	-	johdatus␣
pr010:029	-	(@)	-	on␣
pr010:029	2b	@	-	nuhteettoman␣
pr010:029	2a	%case	GEN	
pr010:029	1	@	-	turva
pr010:029	-	(,)	-	,␣
pr010:029	5a	@	-	mutta␣
pr010:029	6b 7	@	-	väärintekijäin␣
pr010:029	6a	%case	GEN	
pr010:029	5b	@	-	turmio
pr010:029	-	(.)	-	.␣
pr010:030	pr010:030	pr010:030	VERSE	Snl␣10:30␣
pr010:030	1	@	-	Vanhurskas␣
pr010:030	3	@	-	ei␣
pr010:030	2b	@	-	ikinä␣
